source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",368.857,125.8,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),368.857,125.8,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),467.7,159.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,350.129,119.4,BSO per-cohort intensities × UK stock weights × our residential area
Odyssee-Mure 2021 UK residential (back-calculated),330.0,112.5,National total only; definitional gap vs Hotmaps useful demand.
