Country group,Year,Technology,Min (€/MWh),Median (€/MWh),Max (€/MWh),Carbon scenario
UK,2030,Heat pump (air-source),153.0,153.0,153.0,CENTRAL
UK,2030,Heat pump (ground-source),165.0,165.0,165.0,CENTRAL
UK,2030,Hydrogen boiler,142.0,142.0,142.0,CENTRAL
UK,2030,District heating,115.0,115.0,115.0,CENTRAL
UK,2030,Biomass boiler,174.0,174.0,174.0,CENTRAL
UK,2050,Gas boiler,118.0,118.0,118.0,CENTRAL
UK,2050,Heat pump (air-source),123.0,123.0,123.0,CENTRAL
UK,2050,Heat pump (ground-source),130.0,130.0,130.0,CENTRAL
UK,2050,Hydrogen boiler,103.0,103.0,103.0,CENTRAL
UK,2050,District heating,96.0,96.0,96.0,CENTRAL
UK,2050,Biomass boiler,169.0,169.0,169.0,CENTRAL
