Country,Gas boiler,Oil boiler,Heat pump (air-source),Heat pump (ground-source),Hydrogen boiler
DE,11.4,15.3,0.5,0.4,0.0
FR,11.4,15.3,0.3,0.2,0.0
PL,11.4,15.3,1.9,1.6,0.0
IT,11.4,15.3,0.3,0.2,0.0
NL,11.4,15.3,0.2,0.2,0.0
SE,11.4,15.3,0.2,0.1,0.0
UK,11.4,15.3,0.1,0.0,0.0
CH,11.4,15.3,0.1,0.1,0.0
AT,11.4,15.3,0.2,0.2,0.0
BE,11.4,15.3,0.4,0.3,0.0
CZ,11.4,15.3,0.8,0.7,0.0
HU,11.4,15.3,0.2,0.1,0.0
RO,11.4,15.3,0.2,0.1,0.0
ES,11.4,15.3,0.2,0.2,0.0
PT,11.4,15.3,0.1,0.1,0.0
DK,11.4,15.3,0.1,0.1,0.0
