building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,5501,21167455.06126019,MFH_HIGH,620300.0,1612050.2739323762
MFH_LOW,81667,47212876.04841952,MFH_HIGH,620300.0,1612050.2739323762
NON_RESIDENTIAL,674427,0.0,OTHER,3616484.0,9406609.059822518
SFH,668796,105475869.6360908,SFH,1141137.0,2968340.6662451043
