building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,24251,122182980.9789159,MFH_HIGH,11107320.0,27739738.83091458
MFH_LOW,712763,508563624.2180218,MFH_HIGH,11107320.0,27739738.83091458
NON_RESIDENTIAL,12817865,0.0,OTHER,40043858.0,206047115.6567502
SFH,8438509,1085495519.32833,SFH,8865313.0,24147145.512335204
