year,variable,tech,carrier,sample,value
2040,final_energy_MWh,oil,oil,18,0
2040,final_energy_MWh,oil,oil,19,0
2040,final_energy_MWh,oil,oil,20,2.82593e+08
2040,final_energy_MWh,oil,oil,21,0
2040,final_energy_MWh,oil,oil,22,0
2040,final_energy_MWh,oil,oil,23,0
2040,final_energy_MWh,oil,oil,24,0
2040,final_energy_MWh,oil,oil,25,2.81733e+08
2040,final_energy_MWh,oil,oil,26,0
2040,final_energy_MWh,oil,oil,27,0
2040,final_energy_MWh,oil,oil,28,0
2040,final_energy_MWh,oil,oil,29,0
2040,final_energy_MWh,oil,oil,30,0
2040,final_energy_MWh,oil,oil,31,2.93212e+08
2040,final_energy_MWh,oil,oil,32,2.48474e+08
2040,final_energy_MWh,oil,oil,33,0
2040,final_energy_MWh,oil,oil,34,0
2040,final_energy_MWh,oil,oil,35,0
2040,final_energy_MWh,oil,oil,36,2.96824e+08
2040,final_energy_MWh,oil,oil,37,0
2040,final_energy_MWh,oil,oil,38,0
2040,final_energy_MWh,oil,oil,39,0
2040,final_energy_MWh,oil,oil,40,0
2040,final_energy_MWh,oil,oil,41,0
2040,final_energy_MWh,oil,oil,42,0
2040,final_energy_MWh,oil,oil,43,2.22369e+08
2040,final_energy_MWh,oil,oil,44,0
2040,final_energy_MWh,oil,oil,45,0
2040,final_energy_MWh,oil,oil,46,0
2040,final_energy_MWh,oil,oil,47,2.47216e+08
2040,final_energy_MWh,oil,oil,48,0
2040,final_energy_MWh,oil,oil,49,0
2040,final_energy_MWh,oil,oil,50,0
2040,final_energy_MWh,oil,oil,51,0
2040,final_energy_MWh,oil,oil,52,3.03959e+08
2040,final_energy_MWh,oil,oil,53,0
2040,final_energy_MWh,oil,oil,54,0
2040,final_energy_MWh,oil,oil,55,0
2040,final_energy_MWh,oil,oil,56,0
2040,final_energy_MWh,oil,oil,57,0
2040,final_energy_MWh,oil,oil,58,0
2040,final_energy_MWh,oil,oil,59,0
2040,final_energy_MWh,oil,oil,60,0
2040,final_energy_MWh,oil,oil,61,3.03677e+08
2040,final_energy_MWh,oil,oil,62,0
2040,final_energy_MWh,oil,oil,63,2.87156e+08
2040,final_energy_MWh,oil,oil,64,2.62975e+08
2040,final_energy_MWh,oil,oil,65,0
2040,final_energy_MWh,oil,oil,66,0
2040,final_energy_MWh,oil,oil,67,0
2040,final_energy_MWh,oil,oil,68,0
2040,final_energy_MWh,oil,oil,69,0
2040,final_energy_MWh,oil,oil,70,0
2040,final_energy_MWh,oil,oil,71,0
2040,final_energy_MWh,oil,oil,72,0
2040,final_energy_MWh,oil,oil,73,0
2040,final_energy_MWh,oil,oil,74,2.29352e+08
2040,final_energy_MWh,oil,oil,75,0
2040,final_energy_MWh,oil,oil,76,0
2040,final_energy_MWh,oil,oil,77,2.91993e+08
2040,final_energy_MWh,oil,oil,78,2.38215e+08
2040,final_energy_MWh,oil,oil,79,2.9886e+08
2040,final_energy_MWh,oil,oil,80,0
2040,final_energy_MWh,oil,oil,81,0
2040,final_energy_MWh,oil,oil,82,0
2040,final_energy_MWh,oil,oil,83,0
2040,final_energy_MWh,oil,oil,84,0
2040,final_energy_MWh,oil,oil,85,2.57519e+08
2040,final_energy_MWh,oil,oil,86,0
2040,final_energy_MWh,oil,oil,87,0
2040,final_energy_MWh,oil,oil,88,0
2040,final_energy_MWh,oil,oil,89,0
2040,final_energy_MWh,oil,oil,90,2.8596e+08
2040,final_energy_MWh,oil,oil,91,2.57134e+08
2040,final_energy_MWh,oil,oil,92,0
2040,final_energy_MWh,oil,oil,93,0
2040,final_energy_MWh,oil,oil,94,0
2040,final_energy_MWh,oil,oil,95,0
2040,final_energy_MWh,oil,oil,96,0
