h2_price_path,hp_cheaper_count,h2_cheaper_count,median_gap_eur_mwh,h2_cheaper_markets
RAPID,13,16,-3.5,"AT,BE,CH,CZ,DE,DK,EE,FI,FR,IE,IT,LU,NL,PL,SE,UK"
CENTRAL,22,7,15.4,"BE,DE,DK,IE,NL,PL,UK"
SLOW,26,3,32.4,"DE,DK,UK"
STRANDED,29,0,89.6,
