country,lp_obj,milp_obj,gap_pct,milp_status,n_repdays
DE,1471654798.7517693,1472212684.8291829,0.038,Optimal,7
BE,371708859.74248147,372119406.589065,0.11,Optimal,7
FI,272202978.5101517,272488557.8668411,0.105,Optimal,7
FR,396627929.33082765,397017257.0367376,0.098,Optimal,7
PL,479845604.1181755,480084207.0877322,0.05,Optimal,7
