country,scenario,wins_peak,h2_marginal_eur_mwh,clearing_price_eur_mwh,rent_eur_mwh,peaker_flh,ann_capex_eur_kw_yr,gross_margin_eur_kw_yr,net_profit_eur_kw_yr,covers_capex,missing_money_eur_kw_yr
FI,NET_ZERO,False,148.3,133.6,0.0,516.0,54.2,0.0,-54.2,False,54.2
FI,H2_PUSH,True,128.0,133.6,5.6,516.0,54.2,2.9,-51.3,False,51.3
HU,CURRENT_POLICIES,False,252.0,51.5,0.0,519.0,68.6,0.0,-68.6,False,68.6
HU,STATED_POLICIES,False,163.3,62.4,0.0,519.0,68.6,0.0,-68.6,False,68.6
HU,NET_ZERO,False,163.3,95.4,0.0,519.0,68.6,0.0,-68.6,False,68.6
HU,H2_PUSH,False,136.7,95.4,0.0,519.0,68.6,0.0,-68.6,False,68.6
EL,CURRENT_POLICIES,False,238.7,85.4,0.0,518.0,73.1,0.0,-73.1,False,73.1
EL,STATED_POLICIES,False,157.8,95.4,0.0,518.0,73.1,0.0,-73.1,False,73.1
EL,NET_ZERO,False,157.8,125.5,0.0,518.0,73.1,0.0,-73.1,False,73.1
EL,H2_PUSH,False,133.5,125.5,0.0,518.0,73.1,0.0,-73.1,False,73.1
DK,CURRENT_POLICIES,False,159.3,111.2,0.0,519.0,54.2,0.0,-54.2,False,54.2
DK,STATED_POLICIES,True,95.6,122.2,26.6,519.0,54.2,13.8,-40.4,False,40.4
DK,NET_ZERO,True,95.6,136.7,41.1,519.0,54.2,21.3,-32.9,False,32.9
DK,H2_PUSH,True,76.4,117.8,41.4,519.0,54.2,21.5,-32.7,False,32.7
SK,CURRENT_POLICIES,False,252.0,89.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
SK,STATED_POLICIES,False,163.3,100.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
SK,NET_ZERO,False,163.3,133.6,0.0,519.0,66.5,0.0,-66.5,False,66.5
SK,H2_PUSH,False,136.7,133.6,0.0,519.0,66.5,0.0,-66.5,False,66.5
BG,CURRENT_POLICIES,False,224.0,68.8,0.0,519.0,68.6,0.0,-68.6,False,68.6
BG,STATED_POLICIES,False,151.7,79.8,0.0,519.0,68.6,0.0,-68.6,False,68.6
BG,NET_ZERO,False,151.7,112.7,0.0,519.0,68.6,0.0,-68.6,False,68.6
BG,H2_PUSH,False,130.0,112.7,0.0,519.0,68.6,0.0,-68.6,False,68.6
IE,CURRENT_POLICIES,False,202.7,104.6,0.0,519.0,58.1,0.0,-58.1,False,58.1
IE,STATED_POLICIES,False,142.8,116.9,0.0,519.0,58.1,0.0,-58.1,False,58.1
IE,NET_ZERO,True,142.8,153.6,10.8,519.0,58.1,5.6,-52.5,False,52.5
