country,year,tech,variable,q10,q50,q90
BG,2030,oil_boiler,tech_share,0.0392,0.0433,0.04551
BG,2030,resistance_heater,tech_share,0.13398000000000002,0.14834999999999998,0.1551
BG,2040,all,co2_MtCO2,0.6208,0.706,1.3098999999999998
BG,2040,all,useful_heat_TWh,24.636,27.115000000000002,29.78
BG,2040,biomass_boiler,tech_share,0.27179000000000003,0.31479999999999997,0.35581
BG,2040,district_heat,tech_share,0.20848999999999998,0.2279,0.24881
BG,2040,gas_boiler,tech_share,0.0,0.0,0.0542
BG,2040,h2_boiler,tech_share,0.0,0.0142,0.02755999999999999
BG,2040,hp_air,tech_share,0.16954,0.2084,0.25431000000000004
BG,2040,hp_ground,tech_share,0.08496000000000001,0.11935000000000001,0.15476
BG,2040,oil_boiler,tech_share,0.0,0.0,0.04561
BG,2040,resistance_heater,tech_share,0.07289000000000001,0.08745,0.10400999999999999
BG,2050,all,co2_MtCO2,0.12890000000000001,0.158,0.7601
BG,2050,all,useful_heat_TWh,19.796,23.229999999999997,27.161
BG,2050,biomass_boiler,tech_share,0.13029,0.18625,0.24001999999999998
BG,2050,district_heat,tech_share,0.2286,0.25525,0.28662000000000004
BG,2050,gas_boiler,tech_share,0.0,0.0,0.05588
BG,2050,h2_boiler,tech_share,0.0,0.03495,0.06893999999999999
BG,2050,hp_air,tech_share,0.24209,0.28464999999999996,0.33716
BG,2050,hp_ground,tech_share,0.13185,0.1746,0.21816
BG,2050,oil_boiler,tech_share,0.0,0.0,0.047069999999999994
BG,2050,resistance_heater,tech_share,0.026,0.03515,0.04702
CH,2025,all,co2_MtCO2,14.134,14.141,14.1461
CH,2025,all,useful_heat_TWh,86.77,86.77,86.77
CH,2025,biomass_boiler,tech_share,0.1168,0.1168,0.1168
CH,2025,district_heat,tech_share,0.0406,0.0406,0.0406
CH,2025,gas_boiler,tech_share,0.1777,0.1777,0.1777
CH,2025,hp_air,tech_share,0.11339,0.14905,0.1812
CH,2025,hp_ground,tech_share,0.032,0.06415,0.09972
CH,2025,oil_boiler,tech_share,0.3909,0.3909,0.3909
CH,2025,resistance_heater,tech_share,0.0609,0.0609,0.0609
CH,2030,all,co2_MtCO2,0.9358000000000001,1.016,11.422699999999999
CH,2030,all,useful_heat_TWh,75.624,78.78,81.464
CH,2030,biomass_boiler,tech_share,0.11288,0.22555,0.23762
CH,2030,district_heat,tech_share,0.06357000000000002,0.14405,0.20657
CH,2030,gas_boiler,tech_share,0.0,0.0,0.16151000000000001
CH,2030,h2_boiler,tech_share,0.0,0.0017,0.005619999999999999
CH,2030,hp_air,tech_share,0.17037,0.3097,0.41644
CH,2030,hp_ground,tech_share,0.07242,0.12785000000000002,0.23036
CH,2030,oil_boiler,tech_share,0.0,0.0,0.35524
CH,2030,resistance_heater,tech_share,0.05039,0.09914999999999999,0.1107
CH,2040,all,co2_MtCO2,0.31,0.362,6.1666
CH,2040,all,useful_heat_TWh,56.177,63.515,70.229
CH,2040,biomass_boiler,tech_share,0.10747,0.1578,0.17703
CH,2040,district_heat,tech_share,0.1456,0.27175,0.33095
CH,2040,gas_boiler,tech_share,0.0,0.0,0.10962
CH,2040,h2_boiler,tech_share,0.0,0.0142,0.02755999999999999
