warming,twh_2025,twh_2030,twh_2040,twh_2050,delta_2050_vs_nowarm_pct
none (central model),3827.0,3762.0,3626.0,3483.0,0.0
low (own bound),3827.0,3731.0,3534.0,3338.0,-4.1
central (RCP4.5),3827.0,3707.0,3468.0,3235.0,-7.1
high (RCP8.5),3827.0,3676.0,3381.0,3102.0,-10.9
