country,wacc,peaker_cap_gw,peaker_flh,recovery_h2_pct,ann_capex_h2,standing_payment_h2,recovery_gas_pct,ann_capex_gas,standing_payment_gas
DE,0.04,87.7,48,5.4,53.4,50.5,-3.0,40.1,41.3
DK,0.035,7.9,343,40.0,51.4,30.8,-34.8,38.6,52.0
FR,0.05,37.2,71,7.4,57.6,53.3,-4.2,43.2,45.0
NL,0.04,0.0,0,,53.4,,,40.1,
PL,0.07,22.0,56,5.1,66.5,63.1,-3.1,49.9,51.4
RO,0.075,0.0,0,,68.8,,,51.6,
UK,0.045,49.4,112,12.2,55.5,48.7,-10.4,41.6,45.9
