target,foresight,status,realised_cost_bn,raw_lp_cost_bn,hp_2050_pct,dh_2050_pct,h2_2050_pct,biomass_2050_pct,fossil_2050_pct,hp_2030_pct,fossil_2030_pct,retro_2050_pct,retro_lp_cost_bn,retro_positive_countries
-90%,perfect,Optimal,7428.3677,7428.3677,45.41,52.87,0.34,0.0,1.38,21.62,33.69,0.0,7403.5929,NONE
-90%,myopic_LA1,Optimal,7428.4947,7428.4947,45.41,52.87,0.34,0.0,1.38,21.37,33.94,0.0,7166.4859,NONE
-90%,myopic_LA2,Optimal,7428.3677,7428.3677,45.41,52.87,0.34,0.0,1.38,21.62,33.69,0.0,7166.4859,NONE
-90%,snapshot,Optimal,6726.1609,6726.1609,45.41,52.87,0.34,0.0,1.38,20.9,20.58,0.0,6660.9412,NONE
-100%,perfect,Optimal,7429.8315,7429.8315,46.79,52.87,0.34,0.0,0.0,21.72,33.52,0.0,7405.0567,NONE
-100%,myopic_LA1,Optimal,7429.9585,7429.9585,46.79,52.87,0.34,0.0,0.0,21.47,33.77,0.0,7167.9497,NONE
-100%,myopic_LA2,Optimal,7429.8315,7429.8315,46.79,52.87,0.34,0.0,0.0,21.72,33.52,0.0,7167.9497,NONE
-100%,snapshot,Optimal,6727.5153,6727.5153,46.79,52.87,0.34,0.0,0.0,20.94,20.46,0.0,6662.2955,NONE
