country,scenario,year,energy_gwh,clearing_eur_mwh,carbon_eur_t,dh_avail,gas_var_eur_mwh,h2_var_eur_mwh,revenue_meur,gas_profit_meur,h2_profit_meur,gas_profit_chp_lo_meur,gas_profit_chp_hi_meur,h2_profit_chp_lo_meur,h2_profit_chp_hi_meur,gas_syscost_meur,h2_syscost_meur,cum_gas_profit_meur,cum_h2_profit_meur,cum_gas_profit_chp_lo_meur,cum_gas_profit_chp_hi_meur,cum_h2_profit_chp_lo_meur,cum_h2_profit_chp_hi_meur,cum_gas_syscost_meur,cum_h2_syscost_meur
FR,NET_ZERO,2040,1460.9,285.1,300.0,0.202,225.1,240.0,416.47,-1278.39,-1755.51,-1262.71,-1247.03,-1740.69,-1725.87,1694.86,2171.97,-18087.675000000003,-25277.55,-17888.35,-17689.025,-25087.65,-24897.749999999996,23193.774999999998,30383.549999999996
FR,NET_ZERO,2050,2654.0,272.7,350.0,0.202,240.2,212.7,723.83,-1518.08,-1980.07,-1490.65,-1463.22,-1955.1,-1930.14,2241.91,2703.9,-25678.075000000004,-35177.9,-25341.6,-25005.125,-34863.15,-34548.45,34403.325,43903.049999999996
FR,H2_PUSH,2025,0.0,195.5,70.0,0.202,135.5,603.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,H2_PUSH,2030,508.5,246.9,200.0,0.202,186.9,313.3,125.53,-707.17,-1017.35,-701.5,-695.83,-1011.99,-1006.64,832.69,1142.87,-5303.775,-7630.125,-5261.25,-5218.725,-7589.925,-7549.8,6245.175,8571.525
FR,H2_PUSH,2040,1460.9,252.2,300.0,0.202,225.1,192.2,368.5,-1326.35,-1733.73,-1310.68,-1295.0,-1720.5,-1707.27,1694.86,2102.24,-18567.275,-24967.425,-18368.050000000003,-18168.725,-24794.925,-24622.5,23193.774999999998,29593.924999999996
FR,H2_PUSH,2050,2654.0,214.9,350.0,0.202,240.2,154.9,570.35,-1671.56,-1980.07,-1644.13,-1616.7,-1959.42,-1938.77,2241.91,2550.42,-26925.075,-34867.775,-26588.700000000004,-26252.225,-34592.025,-34316.35,34403.325,42346.024999999994
HR,CURRENT_POLICIES,2025,0.0,173.6,30.0,0.179,113.6,728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,CURRENT_POLICIES,2030,16.2,180.2,70.0,0.179,120.2,660.6,2.92,-21.65,-37.94,-21.49,-21.33,-37.79,-37.63,24.57,40.86,-162.375,-284.54999999999995,-161.17499999999998,-159.975,-283.425,-282.225,184.275,306.45
HR,CURRENT_POLICIES,2040,21.3,200.0,130.0,0.179,140.0,533.0,4.25,-56.15,-83.64,-55.95,-55.74,-83.45,-83.26,60.4,87.9,-723.875,-1120.9499999999998,-720.675,-717.375,-1117.925,-1114.825,788.275,1185.45
HR,CURRENT_POLICIES,2050,7.3,202.3,150.0,0.179,142.3,456.1,1.47,-37.55,-52.49,-37.48,-37.41,-52.43,-52.37,39.02,53.96,-911.625,-1383.3999999999999,-908.0749999999999,-904.425,-1380.0749999999998,-1376.675,983.375,1455.25
HR,STATED_POLICIES,2025,0.0,186.3,55.0,0.179,126.3,728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,STATED_POLICIES,2030,16.2,206.2,122.0,0.179,146.2,460.0,3.34,-21.65,-34.27,-21.49,-21.33,-34.12,-33.96,24.99,37.61,-162.375,-257.02500000000003,-161.17499999999998,-159.975,-255.89999999999998,-254.70000000000002,187.42499999999998,282.075
HR,STATED_POLICIES,2040,21.3,224.6,180.0,0.179,164.6,350.7,4.77,-56.15,-79.25,-55.95,-55.74,-79.06,-78.87,60.92,84.02,-723.875,-1049.525,-720.675,-717.375,-1046.5,-1043.4,796.625,1122.2749999999999
HR,STATED_POLICIES,2050,7.3,226.3,200.0,0.179,166.3,311.4,1.65,-37.55,-51.26,-37.48,-37.41,-51.2,-51.14,39.19,52.91,-911.625,-1305.825,-908.0749999999999,-904.425,-1302.5,-1299.1000000000001,992.575,1386.8249999999998
