year,variable,tech,carrier,sample,value
2025,co2_MtCO2,all,all,126,644.325
2025,co2_MtCO2,all,all,127,644.312
2025,co2_MtCO2,all,all,128,644.141
2025,co2_MtCO2,all,all,129,643.833
2025,co2_MtCO2,all,all,130,643.952
2025,co2_MtCO2,all,all,131,644.189
2025,co2_MtCO2,all,all,132,644.185
2025,co2_MtCO2,all,all,133,644.332
2025,co2_MtCO2,all,all,134,644.572
2025,co2_MtCO2,all,all,135,644.1
2025,co2_MtCO2,all,all,136,644.311
2025,co2_MtCO2,all,all,137,644.22
2025,co2_MtCO2,all,all,138,644.602
2025,co2_MtCO2,all,all,139,644.048
2025,co2_MtCO2,all,all,140,643.941
2025,co2_MtCO2,all,all,141,644.538
2025,co2_MtCO2,all,all,142,643.807
2025,co2_MtCO2,all,all,143,643.996
2025,co2_MtCO2,all,all,144,644.562
2025,co2_MtCO2,all,all,145,644.136
2025,co2_MtCO2,all,all,146,644.475
2025,co2_MtCO2,all,all,147,643.911
2025,co2_MtCO2,all,all,148,644.19
2025,co2_MtCO2,all,all,149,644.169
2025,co2_MtCO2,all,all,150,644.43
2025,co2_MtCO2,all,all,151,644.497
2025,co2_MtCO2,all,all,152,644.383
2025,co2_MtCO2,all,all,153,644.267
2025,co2_MtCO2,all,all,154,644.619
2025,co2_MtCO2,all,all,155,644.153
2025,co2_MtCO2,all,all,156,644.064
2025,co2_MtCO2,all,all,157,643.805
2025,co2_MtCO2,all,all,158,643.865
2025,co2_MtCO2,all,all,159,644.124
2025,co2_MtCO2,all,all,160,644.003
2025,co2_MtCO2,all,all,161,644.214
2025,co2_MtCO2,all,all,162,644.003
2025,co2_MtCO2,all,all,163,643.841
2025,co2_MtCO2,all,all,164,644.319
2025,co2_MtCO2,all,all,165,644.613
2025,co2_MtCO2,all,all,166,644.178
2025,co2_MtCO2,all,all,167,644.588
2025,co2_MtCO2,all,all,168,644.241
2025,co2_MtCO2,all,all,169,644.143
2025,co2_MtCO2,all,all,170,644.274
2025,co2_MtCO2,all,all,171,644.332
2025,co2_MtCO2,all,all,172,643.854
2025,co2_MtCO2,all,all,173,644.032
2025,co2_MtCO2,all,all,174,644.236
2025,co2_MtCO2,all,all,175,643.822
2025,co2_MtCO2,all,all,176,643.886
2025,co2_MtCO2,all,all,177,644.031
2025,co2_MtCO2,all,all,178,644.616
2025,co2_MtCO2,all,all,179,644.356
2025,co2_MtCO2,all,all,180,644.162
2025,co2_MtCO2,all,all,181,644.228
2025,co2_MtCO2,all,all,182,644.638
2025,co2_MtCO2,all,all,183,643.833
2025,co2_MtCO2,all,all,184,643.877
2025,co2_MtCO2,all,all,185,644.231
2025,co2_MtCO2,all,all,186,644.384
2025,co2_MtCO2,all,all,187,644.411
2025,co2_MtCO2,all,all,188,644.022
2025,co2_MtCO2,all,all,189,643.867
2025,co2_MtCO2,all,all,190,644.239
2025,co2_MtCO2,all,all,191,643.935
2025,co2_MtCO2,all,all,192,644.547
2025,co2_MtCO2,all,all,193,643.924
2025,co2_MtCO2,all,all,194,643.826
2025,co2_MtCO2,all,all,195,644.459
2025,co2_MtCO2,all,all,196,643.972
2025,co2_MtCO2,all,all,197,643.898
2025,co2_MtCO2,all,all,198,644.504
2025,co2_MtCO2,all,all,199,644.31
2030,co2_MtCO2,all,all,0,527.615
2030,co2_MtCO2,all,all,1,498.985
2030,co2_MtCO2,all,all,2,537.315
2030,co2_MtCO2,all,all,3,533.711
2030,co2_MtCO2,all,all,4,539.427
2030,co2_MtCO2,all,all,5,541.007
2030,co2_MtCO2,all,all,6,540.214
2030,co2_MtCO2,all,all,7,523.29
2030,co2_MtCO2,all,all,8,543.239
2030,co2_MtCO2,all,all,9,516.711
2030,co2_MtCO2,all,all,10,528.206
2030,co2_MtCO2,all,all,11,520.959
2030,co2_MtCO2,all,all,12,532.409
2030,co2_MtCO2,all,all,13,535.03
2030,co2_MtCO2,all,all,14,538.092
2030,co2_MtCO2,all,all,15,533.23
2030,co2_MtCO2,all,all,16,525.569
2030,co2_MtCO2,all,all,17,517.448
2030,co2_MtCO2,all,all,18,533.642
2030,co2_MtCO2,all,all,19,541.742
2030,co2_MtCO2,all,all,20,536.354
2030,co2_MtCO2,all,all,21,534.443
2030,co2_MtCO2,all,all,22,503.821
2030,co2_MtCO2,all,all,23,529.558
2030,co2_MtCO2,all,all,24,537.579
2030,co2_MtCO2,all,all,25,536.965
2030,co2_MtCO2,all,all,26,541.587
2030,co2_MtCO2,all,all,27,531.668
2030,co2_MtCO2,all,all,28,529.623
2030,co2_MtCO2,all,all,29,544.059
2030,co2_MtCO2,all,all,30,542.109
2030,co2_MtCO2,all,all,31,539.75
2030,co2_MtCO2,all,all,32,529.032
2030,co2_MtCO2,all,all,33,509.688
2030,co2_MtCO2,all,all,34,523.751
2030,co2_MtCO2,all,all,35,534.584
2030,co2_MtCO2,all,all,36,539.116
2030,co2_MtCO2,all,all,37,525.401
2030,co2_MtCO2,all,all,38,545.728
2030,co2_MtCO2,all,all,39,512.101
2030,co2_MtCO2,all,all,40,534.887
2030,co2_MtCO2,all,all,41,537.612
2030,co2_MtCO2,all,all,42,534.369
2030,co2_MtCO2,all,all,43,522.044
2030,co2_MtCO2,all,all,44,538.413
2030,co2_MtCO2,all,all,45,530.191
2030,co2_MtCO2,all,all,46,533.622
2030,co2_MtCO2,all,all,47,527.05
2030,co2_MtCO2,all,all,48,532.453
2030,co2_MtCO2,all,all,49,510.885
2030,co2_MtCO2,all,all,50,514.062
2030,co2_MtCO2,all,all,51,524.564
2030,co2_MtCO2,all,all,52,541.051
2030,co2_MtCO2,all,all,53,533.643
2030,co2_MtCO2,all,all,54,538.896
2030,co2_MtCO2,all,all,55,519.429
