country,scenario,cavern,mc_waste,mc_large_hp,mc_biomass,mc_gas_chp,mc_h2,h2_rank_in_stack,marginal_source_at_peak,h2_beats_gas_chp,peak_slice_frac,h2_dh_share
FI,STATED_POLICIES,False,10.0,60.0,85.2,102.9,148.3,5,h2,False,0.12,0.0
FI,NET_ZERO,False,10.0,60.0,85.2,136.6,148.3,5,h2,False,0.12,0.0
FI,H2_PUSH,False,10.0,60.0,85.2,136.6,128.0,4,gas_chp,True,0.12,0.12
HU,CURRENT_POLICIES,False,10.0,27.7,55.6,52.6,252.0,5,h2,False,0.128,0.0
HU,STATED_POLICIES,False,10.0,27.7,55.6,63.8,163.3,5,h2,False,0.128,0.0
HU,NET_ZERO,False,10.0,27.7,55.6,97.5,163.3,5,h2,False,0.128,0.0
HU,H2_PUSH,False,10.0,27.7,55.6,97.5,136.7,5,h2,False,0.128,0.0
EL,CURRENT_POLICIES,False,10.0,66.7,86.5,100.9,238.7,5,h2,False,0.178,0.0
EL,STATED_POLICIES,False,10.0,66.7,86.5,112.1,157.8,5,h2,False,0.178,0.0
EL,NET_ZERO,False,10.0,66.7,86.5,145.8,157.8,5,h2,False,0.178,0.0
EL,H2_PUSH,False,10.0,66.7,86.5,145.8,133.5,4,gas_chp,True,0.178,0.178
DK,CURRENT_POLICIES,True,10.0,93.1,85.2,113.7,159.3,5,h2,False,0.128,0.0
DK,STATED_POLICIES,True,10.0,93.1,85.2,124.9,95.6,4,gas_chp,True,0.128,0.128
DK,NET_ZERO,True,10.0,93.1,85.2,158.6,95.6,4,gas_chp,True,0.128,0.128
DK,H2_PUSH,True,10.0,93.1,85.2,158.6,76.4,2,gas_chp,True,0.128,0.128
SK,CURRENT_POLICIES,False,10.0,66.7,61.8,91.7,252.0,5,h2,False,0.128,0.0
SK,STATED_POLICIES,False,10.0,66.7,61.8,102.9,163.3,5,h2,False,0.128,0.0
SK,NET_ZERO,False,10.0,66.7,61.8,136.6,163.3,5,h2,False,0.128,0.0
SK,H2_PUSH,False,10.0,66.7,61.8,136.6,136.7,5,h2,False,0.128,0.0
BG,CURRENT_POLICIES,False,10.0,45.3,67.9,70.3,224.0,5,h2,False,0.128,0.0
BG,STATED_POLICIES,False,10.0,45.3,67.9,81.6,151.7,5,h2,False,0.128,0.0
BG,NET_ZERO,False,10.0,45.3,67.9,115.2,151.7,5,h2,False,0.128,0.0
BG,H2_PUSH,False,10.0,45.3,67.9,115.2,130.0,5,h2,False,0.128,0.0
IE,CURRENT_POLICIES,False,10.0,82.7,98.8,113.1,202.7,5,h2,False,0.128,0.0
IE,STATED_POLICIES,False,10.0,82.7,98.8,124.3,142.8,5,h2,False,0.128,0.0
IE,NET_ZERO,False,10.0,82.7,98.8,158.0,142.8,4,gas_chp,True,0.128,0.128
IE,H2_PUSH,False,10.0,82.7,98.8,158.0,124.8,4,gas_chp,True,0.128,0.128
LV,CURRENT_POLICIES,False,10.0,50.7,61.8,79.5,212.0,5,h2,False,0.12,0.0
LV,STATED_POLICIES,False,10.0,50.7,61.8,90.7,146.7,5,h2,False,0.12,0.0
LV,NET_ZERO,False,10.0,50.7,61.8,124.4,146.7,5,h2,False,0.12,0.0
LV,H2_PUSH,False,10.0,50.7,61.8,124.4,127.1,5,h2,False,0.12,0.0
PT,CURRENT_POLICIES,False,10.0,66.7,86.5,103.9,212.0,5,h2,False,0.178,0.0
PT,STATED_POLICIES,False,10.0,66.7,86.5,115.2,146.7,5,h2,False,0.178,0.0
PT,NET_ZERO,False,10.0,66.7,86.5,148.8,146.7,4,gas_chp,True,0.178,0.178
PT,H2_PUSH,False,10.0,66.7,86.5,148.8,127.1,4,gas_chp,True,0.178,0.178
LT,CURRENT_POLICIES,False,10.0,53.3,61.8,82.6,212.0,5,h2,False,0.12,0.0
LT,STATED_POLICIES,False,10.0,53.3,61.8,93.8,146.7,5,h2,False,0.12,0.0
LT,NET_ZERO,False,10.0,53.3,61.8,127.4,146.7,5,h2,False,0.12,0.0
LT,H2_PUSH,False,10.0,53.3,61.8,127.4,127.1,4,gas_chp,True,0.12,0.12
HR,CURRENT_POLICIES,False,10.0,53.3,67.9,61.8,242.7,5,h2,False,0.128,0.0
HR,STATED_POLICIES,False,10.0,53.3,67.9,73.0,159.4,5,h2,False,0.128,0.0
HR,NET_ZERO,False,10.0,53.3,67.9,106.7,159.4,5,h2,False,0.128,0.0
HR,H2_PUSH,False,10.0,53.3,67.9,106.7,134.5,5,h2,False,0.128,0.0
SI,CURRENT_POLICIES,False,10.0,66.7,74.1,88.7,254.7,5,h2,False,0.128,0.0
SI,STATED_POLICIES,False,10.0,66.7,74.1,99.9,164.4,5,h2,False,0.128,0.0
SI,NET_ZERO,False,10.0,66.7,74.1,133.6,164.4,5,h2,False,0.128,0.0
SI,H2_PUSH,False,10.0,66.7,74.1,133.6,137.4,5,h2,False,0.128,0.0
EE,CURRENT_POLICIES,False,10.0,56.0,61.8,97.8,210.7,5,h2,False,0.12,0.0
EE,STATED_POLICIES,False,10.0,56.0,61.8,109.1,146.1,5,h2,False,0.12,0.0
EE,NET_ZERO,False,10.0,56.0,61.8,142.7,146.1,5,h2,False,0.12,0.0
EE,H2_PUSH,False,10.0,56.0,61.8,142.7,126.7,4,gas_chp,True,0.12,0.12
LU,CURRENT_POLICIES,False,10.0,77.3,98.8,103.9,245.3,5,h2,False,0.129,0.0
LU,STATED_POLICIES,False,10.0,77.3,98.8,115.2,160.6,5,h2,False,0.129,0.0
LU,NET_ZERO,False,10.0,77.3,98.8,148.8,160.6,5,h2,False,0.129,0.0
LU,H2_PUSH,False,10.0,77.3,98.8,148.8,135.1,4,gas_chp,True,0.129,0.129
CY,CURRENT_POLICIES,False,10.0,72.0,111.2,94.8,277.3,5,h2,False,0.176,0.0
CY,STATED_POLICIES,False,10.0,72.0,111.2,106.0,173.9,5,h2,False,0.176,0.0
CY,NET_ZERO,False,10.0,72.0,111.2,139.7,173.9,5,h2,False,0.176,0.0
CY,H2_PUSH,False,10.0,72.0,111.2,139.7,142.9,5,h2,False,0.176,0.0
MT,CURRENT_POLICIES,False,10.0,53.3,111.2,88.7,274.7,5,h2,False,0.182,0.0
MT,STATED_POLICIES,False,10.0,53.3,111.2,99.9,172.8,5,h2,False,0.182,0.0
MT,NET_ZERO,False,10.0,53.3,111.2,133.6,172.8,5,h2,False,0.182,0.0
MT,H2_PUSH,False,10.0,53.3,111.2,133.6,142.2,5,h2,False,0.182,0.0
