country,year,tech,variable,q10,q50,q90
BG,2030,resistance_heater,tech_share,0.13083,0.15045,0.15951
BG,2040,all,co2_MtCO2,2.5974,2.9130000000000003,3.2281
BG,2040,all,useful_heat_TWh,33.949000000000005,34.785,35.62
BG,2040,biomass_boiler,tech_share,0.214,0.24595,0.27732
BG,2040,district_heat,tech_share,0.17158,0.19125,0.2086
BG,2040,gas_boiler,tech_share,0.09962,0.11875,0.14471
BG,2040,h2_boiler,tech_share,0.0,0.0021,0.014449999999999998
BG,2040,hp_air,tech_share,0.13477,0.16215000000000002,0.18839
BG,2040,hp_ground,tech_share,0.06897,0.09275,0.12000999999999999
BG,2040,oil_boiler,tech_share,0.08393,0.10005,0.12190999999999999
BG,2040,resistance_heater,tech_share,0.0618,0.0788,0.09417
BG,2050,all,co2_MtCO2,3.2559,3.7205000000000004,4.1539
BG,2050,all,useful_heat_TWh,33.797999999999995,35.19,36.61
BG,2050,biomass_boiler,tech_share,0.06604,0.1105,0.15541
BG,2050,district_heat,tech_share,0.14697,0.17015,0.19207
BG,2050,gas_boiler,tech_share,0.18405000000000002,0.21375,0.24091
BG,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.028099999999999997
BG,2050,hp_air,tech_share,0.14948999999999998,0.17535,0.20729
BG,2050,hp_ground,tech_share,0.08373,0.109,0.13754
BG,2050,oil_boiler,tech_share,0.15506,0.1801,0.203
BG,2050,resistance_heater,tech_share,0.020390000000000002,0.026549999999999997,0.03522
CH,2025,all,co2_MtCO2,14.134,14.141,14.1461
CH,2025,all,useful_heat_TWh,86.77,86.77,86.77
CH,2025,biomass_boiler,tech_share,0.1168,0.1168,0.1168
CH,2025,district_heat,tech_share,0.0406,0.0406,0.0406
CH,2025,gas_boiler,tech_share,0.1777,0.1777,0.1777
CH,2025,hp_air,tech_share,0.11339,0.14905,0.1812
CH,2025,hp_ground,tech_share,0.032,0.06415,0.09972
CH,2025,oil_boiler,tech_share,0.3909,0.3909,0.3909
CH,2025,resistance_heater,tech_share,0.0609,0.0609,0.0609
CH,2030,all,co2_MtCO2,12.799900000000001,13.1645,13.3751
CH,2030,all,useful_heat_TWh,86.26899999999999,87.16,87.90100000000001
CH,2030,biomass_boiler,tech_share,0.10629000000000001,0.1114,0.11614
CH,2030,district_heat,tech_share,0.05187,0.0592,0.07544
CH,2030,gas_boiler,tech_share,0.16188,0.1676,0.1699
CH,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
CH,2030,hp_air,tech_share,0.13024,0.1663,0.19933
CH,2030,hp_ground,tech_share,0.042280000000000005,0.0757,0.11270999999999999
CH,2030,oil_boiler,tech_share,0.35606000000000004,0.36875,0.37371
CH,2030,resistance_heater,tech_share,0.04629,0.0506,0.0523
CH,2040,all,co2_MtCO2,10.6323,11.3605,12.0974
CH,2040,all,useful_heat_TWh,83.405,86.00999999999999,88.223
CH,2040,biomass_boiler,tech_share,0.08803,0.106,0.11743
CH,2040,district_heat,tech_share,0.09226999999999999,0.1145,0.14748
CH,2040,gas_boiler,tech_share,0.13959,0.15005000000000002,0.15832
CH,2040,h2_boiler,tech_share,0.0,0.0021,0.0154
CH,2040,hp_air,tech_share,0.14067,0.17325,0.20082
CH,2040,hp_ground,tech_share,0.062369999999999995,0.09045,0.12136
CH,2040,oil_boiler,tech_share,0.30707999999999996,0.33,0.34826
CH,2040,resistance_heater,tech_share,0.0273,0.0316,0.0356
CH,2050,all,co2_MtCO2,7.7137,8.836500000000001,10.0892
CH,2050,all,useful_heat_TWh,79.042,83.205,86.795
CH,2050,biomass_boiler,tech_share,0.07048,0.09765,0.11563999999999999
CH,2050,district_heat,tech_share,0.1346,0.1653,0.21283
CH,2050,gas_boiler,tech_share,0.10597,0.1232,0.13816
CH,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.03594
CH,2050,hp_air,tech_share,0.16327,0.19285,0.22329999999999997
CH,2050,hp_ground,tech_share,0.09434000000000001,0.12165000000000001,0.14796
CH,2050,oil_boiler,tech_share,0.23313,0.271,0.30403
CH,2050,resistance_heater,tech_share,0.012790000000000001,0.0161,0.02192
CY,2025,all,co2_MtCO2,0.776,0.779,0.781
CY,2025,all,useful_heat_TWh,3.25,3.25,3.25
CY,2025,biomass_boiler,tech_share,0.0556,0.0556,0.0556
CY,2025,hp_air,tech_share,0.16658,0.21889999999999998,0.26614
CY,2025,hp_ground,tech_share,0.04696000000000001,0.0942,0.14651999999999998
CY,2025,oil_boiler,tech_share,0.5404,0.5404,0.5404
CY,2025,resistance_heater,tech_share,0.0909,0.0909,0.0909
CY,2030,all,co2_MtCO2,0.6578,0.679,0.691
CY,2030,all,useful_heat_TWh,3.41,3.44,3.47
CY,2030,biomass_boiler,tech_share,0.05429,0.05975,0.07192
CY,2030,district_heat,tech_share,0.04058,0.048850000000000005,0.0711
CY,2030,h2_boiler,tech_share,0.0,0.0002,0.0022099999999999997
CY,2030,hp_air,tech_share,0.1518,0.19935,0.23887999999999998
CY,2030,hp_ground,tech_share,0.04259,0.08485000000000001,0.13172
CY,2030,oil_boiler,tech_share,0.50776,0.52615,0.5339
CY,2030,resistance_heater,tech_share,0.06889,0.0774,0.08120999999999999
CY,2040,all,co2_MtCO2,0.542,0.576,0.6091
CY,2040,all,useful_heat_TWh,3.68,3.77,3.87
CY,2040,biomass_boiler,tech_share,0.05326,0.0733,0.08460999999999999
CY,2040,district_heat,tech_share,0.14185,0.1643,0.20239000000000001
CY,2040,h2_boiler,tech_share,0.0,0.0019,0.011009999999999999
CY,2040,hp_air,tech_share,0.13225,0.16745,0.20032999999999998
CY,2040,hp_ground,tech_share,0.0387,0.07025,0.10454999999999999
CY,2040,oil_boiler,tech_share,0.43856,0.47195,0.49632000000000004
CY,2040,resistance_heater,tech_share,0.038560000000000004,0.04755,0.05672
CY,2050,all,co2_MtCO2,0.43,0.4895,0.559
CY,2050,all,useful_heat_TWh,3.95,4.12,4.3
CY,2050,biomass_boiler,tech_share,0.0506,0.0794,0.0854
CY,2050,district_heat,tech_share,0.23646,0.27875,0.32336
CY,2050,h2_boiler,tech_share,0.0,0.004200000000000001,0.021019999999999994
CY,2050,hp_air,tech_share,0.12808,0.15355000000000002,0.18478
CY,2050,hp_ground,tech_share,0.04287,0.06459999999999999,0.08764999999999999
CY,2050,oil_boiler,tech_share,0.33865,0.39370000000000005,0.44218999999999997
CY,2050,resistance_heater,tech_share,0.01619,0.02445,0.0388
CZ,2025,all,co2_MtCO2,16.304,16.314,16.324
CZ,2025,all,useful_heat_TWh,77.9,77.9,77.9
CZ,2025,biomass_boiler,tech_share,0.1624,0.1624,0.1624
CZ,2025,district_heat,tech_share,0.3299,0.3299,0.3299
CZ,2025,gas_boiler,tech_share,0.3503,0.3503,0.3503
CZ,2025,hp_air,tech_share,0.0243,0.03195,0.03882
CZ,2025,hp_ground,tech_share,0.006880000000000001,0.01375,0.0214
