country,scenario,cavern,gas_peaker_eur_mwh,h2_peaker_eur_mwh,h2_storage_adder,peak_elec_eur_mwh,hp_peak_eur_mwh,peak_slice_frac,h2_wins_peak,h2_derived_share,peak_price_basis
FI,STATED_POLICIES,False,100.7,148.3,100.0,240.5,133.6,0.12,False,0.0,endogenous
FI,NET_ZERO,False,133.6,148.3,100.0,316.2,175.7,0.12,False,0.0,endogenous
FI,H2_PUSH,False,133.6,128.0,100.0,316.2,175.7,0.12,True,0.120306,endogenous
HU,CURRENT_POLICIES,False,51.5,252.0,100.0,215.2,105.6,0.128,False,0.0,endogenous
HU,STATED_POLICIES,False,62.4,163.3,100.0,240.5,118.1,0.128,False,0.0,endogenous
HU,NET_ZERO,False,95.4,163.3,100.0,316.2,155.2,0.128,False,0.0,endogenous
HU,H2_PUSH,False,95.4,136.7,100.0,316.2,155.2,0.128,False,0.0,endogenous
EL,CURRENT_POLICIES,False,98.7,238.7,100.0,215.2,85.4,0.178,False,0.0,endogenous
EL,STATED_POLICIES,False,109.7,157.8,100.0,240.5,95.4,0.178,False,0.0,endogenous
EL,NET_ZERO,False,142.6,157.8,100.0,316.2,125.5,0.178,False,0.0,endogenous
EL,H2_PUSH,False,142.6,133.5,100.0,316.2,125.5,0.178,False,0.0,endogenous
DK,CURRENT_POLICIES,True,111.2,159.3,50.0,215.2,111.4,0.128,False,0.0,endogenous
DK,STATED_POLICIES,True,122.2,95.6,50.0,240.5,124.5,0.128,True,0.12769,endogenous
DK,NET_ZERO,True,155.2,95.6,50.0,264.1,136.7,0.128,True,0.12769,endogenous
DK,H2_PUSH,True,155.2,76.4,50.0,227.5,117.8,0.128,True,0.12769,endogenous
SK,CURRENT_POLICIES,False,89.7,252.0,100.0,215.2,110.2,0.128,False,0.0,endogenous
SK,STATED_POLICIES,False,100.7,163.3,100.0,240.5,123.1,0.128,False,0.0,endogenous
SK,NET_ZERO,False,133.6,163.3,100.0,316.2,161.9,0.128,False,0.0,endogenous
SK,H2_PUSH,False,133.6,136.7,100.0,316.2,161.9,0.128,False,0.0,endogenous
BG,CURRENT_POLICIES,False,68.8,224.0,100.0,215.2,105.6,0.128,False,0.0,endogenous
BG,STATED_POLICIES,False,79.8,151.7,100.0,240.5,118.1,0.128,False,0.0,endogenous
BG,NET_ZERO,False,112.7,151.7,100.0,316.2,155.2,0.128,False,0.0,endogenous
BG,H2_PUSH,False,112.7,130.0,100.0,316.2,155.2,0.128,False,0.0,endogenous
IE,CURRENT_POLICIES,False,110.7,202.7,100.0,215.2,104.6,0.128,False,0.0,endogenous
IE,STATED_POLICIES,False,121.6,142.8,100.0,240.5,116.9,0.128,False,0.0,endogenous
IE,NET_ZERO,False,154.6,142.8,100.0,316.2,153.6,0.128,True,0.127565,endogenous
IE,H2_PUSH,False,154.6,124.8,100.0,316.2,153.6,0.128,True,0.127565,endogenous
LV,CURRENT_POLICIES,False,77.8,212.0,100.0,215.2,113.9,0.12,False,0.0,endogenous
LV,STATED_POLICIES,False,88.8,146.7,100.0,240.5,127.2,0.12,False,0.0,endogenous
LV,NET_ZERO,False,121.7,146.7,100.0,316.2,167.3,0.12,False,0.0,endogenous
LV,H2_PUSH,False,121.7,127.1,100.0,316.2,167.3,0.12,False,0.0,endogenous
PT,CURRENT_POLICIES,False,101.7,212.0,100.0,215.2,86.8,0.178,False,0.0,endogenous
PT,STATED_POLICIES,False,112.7,146.7,100.0,240.5,97.1,0.178,False,0.0,endogenous
PT,NET_ZERO,False,145.6,146.7,100.0,316.2,127.6,0.178,False,0.0,endogenous
PT,H2_PUSH,False,145.6,127.1,100.0,316.2,127.6,0.178,True,0.177582,endogenous
LT,CURRENT_POLICIES,False,80.8,212.0,100.0,215.2,113.9,0.12,False,0.0,endogenous
LT,STATED_POLICIES,False,91.7,146.7,100.0,240.5,127.2,0.12,False,0.0,endogenous
LT,NET_ZERO,False,124.7,146.7,100.0,316.2,167.3,0.12,False,0.0,endogenous
LT,H2_PUSH,False,124.7,127.1,100.0,316.2,167.3,0.12,False,0.0,endogenous
HR,CURRENT_POLICIES,False,60.4,242.7,100.0,215.2,104.6,0.128,False,0.0,endogenous
HR,STATED_POLICIES,False,71.4,159.4,100.0,240.5,116.9,0.128,False,0.0,endogenous
HR,NET_ZERO,False,104.3,159.4,100.0,316.2,153.6,0.128,False,0.0,endogenous
HR,H2_PUSH,False,104.3,134.5,100.0,316.2,153.6,0.128,False,0.0,endogenous
SI,CURRENT_POLICIES,False,86.7,254.7,100.0,215.2,105.6,0.128,False,0.0,endogenous
SI,STATED_POLICIES,False,97.7,164.4,100.0,240.5,118.1,0.128,False,0.0,endogenous
SI,NET_ZERO,False,130.7,164.4,100.0,316.2,155.2,0.128,False,0.0,endogenous
SI,H2_PUSH,False,130.7,137.4,100.0,316.2,155.2,0.128,False,0.0,endogenous
EE,CURRENT_POLICIES,False,95.7,210.7,100.0,215.2,116.5,0.12,False,0.0,endogenous
EE,STATED_POLICIES,False,106.7,146.1,100.0,240.5,130.1,0.12,False,0.0,endogenous
EE,NET_ZERO,False,139.6,146.1,100.0,316.2,171.1,0.12,False,0.0,endogenous
EE,H2_PUSH,False,139.6,126.7,100.0,316.2,171.1,0.12,True,0.120279,endogenous
LU,CURRENT_POLICIES,False,101.7,245.3,100.0,215.2,102.5,0.129,False,0.0,endogenous
LU,STATED_POLICIES,False,112.7,160.6,100.0,240.5,114.5,0.129,False,0.0,endogenous
LU,NET_ZERO,False,145.6,160.6,100.0,316.2,150.6,0.129,False,0.0,endogenous
LU,H2_PUSH,False,145.6,135.1,100.0,316.2,150.6,0.129,True,0.128637,endogenous
CY,CURRENT_POLICIES,False,92.7,277.3,100.0,215.2,75.9,0.176,False,0.0,endogenous
CY,STATED_POLICIES,False,103.7,173.9,100.0,240.5,84.8,0.176,False,0.0,endogenous
CY,NET_ZERO,False,136.6,173.9,100.0,316.2,111.5,0.176,False,0.0,endogenous
CY,H2_PUSH,False,136.6,142.9,100.0,316.2,111.5,0.176,False,0.0,endogenous
MT,CURRENT_POLICIES,False,86.7,274.7,100.0,215.2,78.8,0.182,False,0.0,endogenous
MT,STATED_POLICIES,False,97.7,172.8,100.0,240.5,88.1,0.182,False,0.0,endogenous
MT,NET_ZERO,False,130.7,172.8,100.0,316.2,115.8,0.182,False,0.0,endogenous
MT,H2_PUSH,False,130.7,142.2,100.0,316.2,115.8,0.182,False,0.0,endogenous
