cap,retro_share_2030_pct,retro_share_2040_pct,pv_fixed_bn,pv_retrofit_bn,retro_share_2050_pct,binders_fixed,binders_retrofit,status
-90%,2.79,5.81,7428.4,7403.6,0.0,4,4,Optimal
-100%,2.79,5.81,7429.8,7405.1,0.0,4,4,Optimal
