country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
BE,2050,hp_air,electricity,0.49171416,56315895.50767519,16090255.859335769,128722.04687468616,COST_OPT_75,trajectory
BE,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BE,2050,district_heat,district_heat,0.50828584,58213845.72994789,60014273.94839989,480114.1915871991,COST_OPT_75,trajectory
BE,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2025,gas_boiler,gas,0.054,1921771.1341080829,2088881.6675087856,421954.0968367747,COST_OPT_75,trajectory
BG,2025,oil_boiler,oil,0.0455,1619270.1222577365,1799189.0247308183,476785.09155366686,COST_OPT_75,trajectory
BG,2025,biomass_boiler,biomass,0.5213,18552209.115010064,21082055.812511437,0.0,COST_OPT_75,trajectory
BG,2025,resistance_heater,electricity,0.1776,6320491.729955473,6449481.357097422,2257318.4749840978,COST_OPT_75,trajectory
BG,2025,hp_air,electricity,0.01,355883.5433533487,111178.86390295181,38912.602366033134,COST_OPT_75,trajectory
BG,2025,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2025,district_heat,district_heat,0.1916,6818728.69065016,7177609.1480528,1579074.012571616,COST_OPT_75,trajectory
BG,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2030,gas_boiler,gas,0.0221,767691.4286230498,830834.8794621751,167828.64565135937,COST_OPT_75,trajectory
BG,2030,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2030,biomass_boiler,biomass,0.2663,9250508.029064167,10464375.598488877,0.0,COST_OPT_75,trajectory
BG,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2030,hp_air,electricity,0.265,9205349.709733402,2841332.708726898,568266.5417453796,COST_OPT_75,trajectory
BG,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2030,district_heat,district_heat,0.4466,15513619.548554478,16261655.711273039,2276631.7995782257,COST_OPT_75,trajectory
BG,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,hp_air,electricity,0.49855033,16711628.167559283,5037568.025429337,403005.44203434704,COST_OPT_75,trajectory
BG,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2040,district_heat,district_heat,0.50144967,16808815.330210105,17472781.008534413,1135730.7655547368,COST_OPT_75,trajectory
BG,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,hp_air,electricity,0.49855033,16495260.57911686,4858692.364982875,97173.8472996575,COST_OPT_75,trajectory
BG,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
BG,2050,district_heat,district_heat,0.50144967,16591189.447135974,17104319.017665952,376295.01838865096,COST_OPT_75,trajectory
BG,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2025,gas_boiler,gas,0.17768223,15417456.007247737,16758104.355704062,3385137.0798522206,COST_OPT_75,trajectory
CH,2025,oil_boiler,oil,0.39086091,33914932.7700233,37683258.63335922,9986063.537840195,COST_OPT_75,trajectory
CH,2025,biomass_boiler,biomass,0.11678832,10133702.091426762,11515570.558439502,0.0,COST_OPT_75,trajectory
CH,2025,resistance_heater,electricity,0.060893911,5283754.0025908,5391585.716929387,269579.2858464694,COST_OPT_75,trajectory
CH,2025,hp_air,electricity,0.15738426,13656204.701974079,4266230.772250572,213311.5386125286,COST_OPT_75,trajectory
CH,2025,hp_ground,electricity,0.055794421,4841272.147571309,1313421.6352608,65671.08176304,COST_OPT_75,trajectory
CH,2025,district_heat,district_heat,0.04059594,3522502.6105473163,3707897.484786649,222473.84908719893,COST_OPT_75,trajectory
