country,elec50,elec40,elec30,dh50,useful_heat,heat_elec_twh,total_elec_twh,share_of_elec
AT,0.4026,0.31995,0.2674,0.1846999999999999,55.685,6.976704907894737,104.97670490789474,0.0664595532315099
BE,0.3891,0.26715,0.11259999999999999,0.276,102.81,11.601886485049834,126.40188648504983,0.09178570674593567
BG,0.38465,0.36665000000000003,0.2332,0.21215,29.045,3.7023924722488615,49.902392472248856,0.0741926847356626
CH,0.42010000000000003,0.34284999999999993,0.3019,0.2385999999999999,65.925,8.374715777134638,89.57471577713463,0.09349419313784099
CY,0.2946999999999999,0.31164999999999987,0.3688499999999999,0.4049,3.36,0.2775926408268733,7.277592640826874,0.03814347058525846
CZ,0.41405,0.3230499999999998,0.1488,0.21315,70.20500000000001,8.964648570499769,95.76464857049976,0.09361125116958162
DE,0.4017999999999998,0.2782,0.2327,0.24365,606.1500000000001,72.61203759966776,744.6120375996677,0.0975166045310522
DK,0.4395,0.34885,0.2668999999999999,0.19635,46.465,6.354727031308681,55.354727031308684,0.11480007891131758
EE,0.4077,0.35685,0.20325000000000001,0.1623,10.915,1.5137001777408636,12.713700177740863,0.11906055330697894
EL,0.34849999999999987,0.27654999999999996,0.185,0.26575,53.855,5.098649065891471,77.89864906589146,0.06545234258913425
ES,0.3669499999999999,0.31835,0.24120000000000003,0.24595,128.975,13.075998940849342,356.07599894084933,0.03672249457908985
FI,0.43665,0.46025,0.44679999999999986,0.18735,73.83500000000001,11.124058008452218,125.92405800845222,0.0883394180936065
FR,0.3977999999999999,0.3631,0.361,0.2444,452.265,54.24753395431889,677.2475339543189,0.0801000095749008
HR,0.3901,0.3001499999999999,0.10515,0.1975,13.205,1.666142688012747,26.866142688012747,0.0620164460287838
HU,0.40720000000000006,0.2874,0.0982,0.2003,53.8,8.177763259238963,69.77776325923895,0.11719726854609636
IE,0.4137999999999999,0.2830499999999999,0.2546,0.2400499999999999,32.565,4.015680918672452,48.81568091867245,0.08226211010684513
IT,0.38630000000000003,0.27695,0.1189499999999999,0.2366,439.865,46.23403611703412,466.2340361170341,0.09916486685975978
LT,0.40525,0.33584999999999987,0.19435,0.1725499999999999,15.28,2.0772643898117384,18.877264389811735,0.11004054119901296
LU,0.38429999999999986,0.26735,0.22660000000000002,0.2744,9.89,1.136127714285714,9.536127714285712,0.11913931401985359
LV,0.4089999999999999,0.3305499999999999,0.1204,0.16435,19.315,2.6783894462901436,12.478389446290143,0.2146422387134612
MT,0.3167999999999998,0.5219499999999999,0.7861499999999999,0.3842,1.39,0.1585761589573217,4.358576158957321,0.03638256007788952
NL,0.4580499999999999,0.2944999999999999,0.2366,0.1982,138.135,18.62073567607973,176.82073567607972,0.10530855221749165
PL,0.42479999999999996,0.3098,0.105,0.1812,168.45999999999998,22.37004868048534,253.3700486804853,0.08829002795312757
PT,0.3728,0.4101,0.4210999999999999,0.22355,15.125,1.5601266312151583,71.56012663121516,0.021801619206953966
RO,0.40269999999999995,0.30645,0.10005,0.18395,80.64,10.677708279069765,83.47770827906976,0.1279108938086046
SE,0.42545,0.4359999999999999,0.4086999999999999,0.2038,81.14,11.874125869827846,200.87412586982785,0.059112271520338155
SI,0.4047,0.33425,0.2016999999999999,0.1754,15.385000000000002,1.9314582035483103,21.531458203548308,0.08970401285826582
SK,0.39375000000000004,0.29985000000000006,0.1454,0.18985,28.18,3.5305510258993316,42.73055102589933,0.08262357823935938
UK,0.4277,0.29240000000000005,0.2681499999999998,0.2365,338.45,42.036726860465116,448.03672686046514,0.09382428792172852
