country,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,short_hours,unserved_gwh,lol_hours
AT,2025,12.582197198856777,4.0,13864.08804260518,0.0,0.0,0.0,0,0.0,0
AT,2030,15.616087924002517,4.0,16025.207315631615,0.0,0.0,0.0,0,0.0,0
AT,2040,17.696217590265718,3.0,12588.957700352978,0.0,0.0,0.0,0,0.0,0
AT,2050,19.972589335582605,2.0,8069.290323568295,1.6907335321127661,13.318875190434337,7.877572034542232,13,2.1684496365527064,3
BE,2025,13.904390466722063,8.0,27123.17685715727,1.7119012135033618,78.86377070933858,46.06794485994078,121,2.7788437630280924,3
BE,2030,16.309012680625173,8.0,28312.490561703104,4.946243129466426,639.4540055769671,129.28074678891653,428,0.959155196574832,3
BE,2040,21.861475613610764,7.0,28972.392862549026,10.671838315321871,3488.6093039511397,326.89862804072294,1059,2.8017165825383756,3
BE,2050,25.940178740496847,6.0,28534.090284067413,14.557074956084993,9079.512057348664,623.7181634867754,1869,2.2306234940657568,3
BG,2025,5.089195649137076,0.5,3407.2398166541448,0.39371731742741156,4.058410275478433,10.307929308257236,18,0.14642424591178416,3
BG,2030,6.097218138993983,0.5,3883.927482222782,1.40391887369488,307.4934259052539,219.025067378703,642,0.14542599783559984,3
BG,2040,8.045919149650697,0.75,2159.060065491919,1.7513282684075833,17.517006998605233,10.002126565645392,21,0.5948149278405603,3
BG,2050,9.153840094159547,1.0,1453.9274452984432,0.0,0.0,0.0,0,0.0,0
CH,2025,13.033171261840545,0.0,0.0,0.0,0.0,0.0,0,0.0,0
CH,2030,14.491048662089376,0.0,0.0,0.4851497628652659,2.1146757874491655,4.358810308305656,7,0.7190096632535603,3
CH,2040,16.39218312224488,0.5,3528.4519081228555,1.7228316664712526,18.55489635131748,10.769999595678485,26,1.4070669751889717,3
CH,2050,18.5317240621214,1.0,6766.71967803332,3.4361032444917505,129.63594253913817,37.727604008101686,115,1.5227231387688533,3
CY,2025,1.0109288817622823,1.1,4054.73025222708,0.0,0.0,0.0,0,0.0,0
CY,2030,1.0780851274895351,1.1,4234.962654745201,0.0,0.0,0.0,0,0.0,0
CY,2040,1.177376927007883,1.15,2884.793116651912,0.0,0.0,0.0,0,0.0,0
CY,2050,1.2979627216398106,1.2,2510.7961979338406,0.0,0.0,0.0,0,0.0,0
