country,year,tech,variable,q10,q50,q90
BG,2040,biomass_boiler,tech_share,0.0,0.0,0.0
BG,2040,district_heat,tech_share,0.50144967,0.50144967,0.50144967
BG,2040,gas_boiler,tech_share,0.0,0.0,0.0
BG,2040,h2_boiler,tech_share,0.0,0.0,0.0
BG,2040,hp_air,tech_share,0.49855033000000004,0.49855033000000004,0.49855033000000004
BG,2040,hp_ground,tech_share,0.0,0.0,0.0
BG,2040,oil_boiler,tech_share,0.0,0.0,0.0
BG,2040,resistance_heater,tech_share,0.0,0.0,0.0
BG,2050,biomass_boiler,tech_share,0.0,0.0,0.0
BG,2050,district_heat,tech_share,0.50144967,0.50144967,0.50144967
BG,2050,gas_boiler,tech_share,0.0,0.0,0.0
BG,2050,h2_boiler,tech_share,0.0,0.0,0.0
BG,2050,hp_air,tech_share,0.49855033,0.49855033,0.49855033
BG,2050,hp_ground,tech_share,0.0,0.0,0.0
BG,2050,oil_boiler,tech_share,0.0,0.0,0.0
BG,2050,resistance_heater,tech_share,0.0,0.0,0.0
BG,2025,all,co2_MtCO2,4.774044278312188,4.774044278312188,4.774044278312188
BG,2030,all,co2_MtCO2,3.012726986974964,3.012726986974964,3.012726986974964
BG,2040,all,co2_MtCO2,1.5387362075890838,1.5387362075890838,1.5387362075890838
BG,2050,all,co2_MtCO2,0.4734688656883085,0.4734688656883085,0.4734688656883085
BG,2025,all,useful_heat_TWh,35.58835433533487,35.58835433533487,35.58835433533487
BG,2030,all,useful_heat_TWh,34.737168715975095,34.737168715975095,34.737168715975095
BG,2040,all,useful_heat_TWh,33.520443497769385,33.520443497769385,33.520443497769385
BG,2050,all,useful_heat_TWh,33.086450026252834,33.086450026252834,33.086450026252834
CH,2025,biomass_boiler,tech_share,0.11678832093430656,0.11678832093430656,0.11678832093430656
CH,2025,district_heat,tech_share,0.04059594032476752,0.04059594032476752,0.04059594032476752
CH,2025,gas_boiler,tech_share,0.17768223142145784,0.17768223142145784,0.17768223142145784
CH,2025,h2_boiler,tech_share,0.0,0.0,0.0
CH,2025,hp_air,tech_share,0.1573842612590741,0.1573842612590741,0.1573842612590741
CH,2025,hp_ground,tech_share,0.055794421446355366,0.055794421446355366,0.055794421446355366
CH,2025,oil_boiler,tech_share,0.3908609131268873,0.3908609131268873,0.3908609131268873
CH,2025,resistance_heater,tech_share,0.060893911487151293,0.060893911487151293,0.060893911487151293
CH,2030,biomass_boiler,tech_share,0.04876549109753099,0.04876549109753099,0.04876549109753099
CH,2030,district_heat,tech_share,0.3405959406811919,0.3405959406811919,0.3405959406811919
CH,2030,gas_boiler,tech_share,0.0,0.0,0.0
CH,2030,h2_boiler,tech_share,0.0,0.0,0.0
CH,2030,hp_air,tech_share,0.4573842609147686,0.4573842609147686,0.4573842609147686
CH,2030,hp_ground,tech_share,0.06239339312478679,0.06239339312478679,0.06239339312478679
CH,2030,oil_boiler,tech_share,0.09086091418172183,0.09086091418172183,0.09086091418172183
CH,2030,resistance_heater,tech_share,0.0,0.0,0.0
CH,2040,biomass_boiler,tech_share,0.0,0.0,0.0
CH,2040,district_heat,tech_share,0.67976272,0.67976272,0.67976272
CH,2040,gas_boiler,tech_share,0.0,0.0,0.0
CH,2040,h2_boiler,tech_share,0.0,0.0,0.0
CH,2040,hp_air,tech_share,0.32023728,0.32023728,0.32023728
CH,2040,hp_ground,tech_share,0.0,0.0,0.0
CH,2040,oil_boiler,tech_share,0.0,0.0,0.0
CH,2040,resistance_heater,tech_share,0.0,0.0,0.0
CH,2050,biomass_boiler,tech_share,0.0,0.0,0.0
CH,2050,district_heat,tech_share,0.67976272,0.67976272,0.67976272
CH,2050,gas_boiler,tech_share,0.0,0.0,0.0
CH,2050,h2_boiler,tech_share,0.0,0.0,0.0
CH,2050,hp_air,tech_share,0.32023728,0.32023728,0.32023728
CH,2050,hp_ground,tech_share,0.0,0.0,0.0
CH,2050,oil_boiler,tech_share,0.0,0.0,0.0
CH,2050,resistance_heater,tech_share,0.0,0.0,0.0
CH,2025,all,co2_MtCO2,14.142236373001651,14.142236373001651,14.142236373001651
CH,2030,all,co2_MtCO2,3.7729620657624574,3.7729620657624574,3.7729620657624574
CH,2040,all,co2_MtCO2,0.9642705764242556,0.9642705764242556,0.9642705764242556
CH,2050,all,co2_MtCO2,0.3055527169105484,0.3055527169105484,0.3055527169105484
CH,2025,all,useful_heat_TWh,86.7698243313813,86.7698243313813,86.7698243313813
CH,2030,all,useful_heat_TWh,85.78960821453119,85.78960821453119,85.78960821453119
CH,2040,all,useful_heat_TWh,82.0125197143899,82.0125197143899,82.0125197143899
CH,2050,all,useful_heat_TWh,76.85773584858063,76.85773584858063,76.85773584858063
CY,2025,biomass_boiler,tech_share,0.0556,0.0556,0.0556
CY,2025,district_heat,tech_share,0.0,0.0,0.0
CY,2025,gas_boiler,tech_share,0.0,0.0,0.0
CY,2025,h2_boiler,tech_share,0.0,0.0,0.0
CY,2025,hp_air,tech_share,0.3131,0.3131,0.3131
CY,2025,hp_ground,tech_share,0.0,0.0,0.0
CY,2025,oil_boiler,tech_share,0.5404,0.5404,0.5404
CY,2025,resistance_heater,tech_share,0.0909,0.0909,0.0909
CY,2030,biomass_boiler,tech_share,0.0,0.0,0.0
CY,2030,district_heat,tech_share,0.3,0.3,0.3
CY,2030,gas_boiler,tech_share,0.24890701,0.24890701,0.24890701
CY,2030,h2_boiler,tech_share,0.0,0.0,0.0
CY,2030,hp_air,tech_share,0.21069299,0.21069299,0.21069299
CY,2030,hp_ground,tech_share,0.0,0.0,0.0
CY,2030,oil_boiler,tech_share,0.24039999999999997,0.24039999999999997,0.24039999999999997
CY,2030,resistance_heater,tech_share,0.0,0.0,0.0
CY,2040,biomass_boiler,tech_share,0.0,0.0,0.0
CY,2040,district_heat,tech_share,0.7000000000000001,0.7000000000000001,0.7000000000000001
CY,2040,gas_boiler,tech_share,0.3,0.3,0.3
CY,2040,h2_boiler,tech_share,0.0,0.0,0.0
CY,2040,hp_air,tech_share,0.0,0.0,0.0
CY,2040,hp_ground,tech_share,0.0,0.0,0.0
CY,2040,oil_boiler,tech_share,0.0,0.0,0.0
CY,2040,resistance_heater,tech_share,0.0,0.0,0.0
CY,2050,biomass_boiler,tech_share,0.0,0.0,0.0
CY,2050,district_heat,tech_share,0.7000000014000001,0.7000000014000001,0.7000000014000001
CY,2050,gas_boiler,tech_share,0.0624580981249162,0.0624580981249162,0.0624580981249162
CY,2050,h2_boiler,tech_share,0.0,0.0,0.0
CY,2050,hp_air,tech_share,0.2375419004750838,0.2375419004750838,0.2375419004750838
CY,2050,hp_ground,tech_share,0.0,0.0,0.0
CY,2050,oil_boiler,tech_share,0.0,0.0,0.0
CY,2050,resistance_heater,tech_share,0.0,0.0,0.0
CY,2025,all,co2_MtCO2,0.7831129251982984,0.7831129251982984,0.7831129251982984
CY,2030,all,co2_MtCO2,0.5223160639701863,0.5223160639701863,0.5223160639701863
CY,2040,all,co2_MtCO2,0.2887520971731739,0.2887520971731739,0.2887520971731739
CY,2050,all,co2_MtCO2,0.07793512934757024,0.07793512934757024,0.07793512934757024
CY,2025,all,useful_heat_TWh,3.2543516343463437,3.2543516343463437,3.2543516343463437
CY,2030,all,useful_heat_TWh,3.3915290817945256,3.3915290817945256,3.3915290817945256
CY,2040,all,useful_heat_TWh,3.6287025657214915,3.6287025657214915,3.6287025657214915
CY,2050,all,useful_heat_TWh,3.858077147501971,3.858077147501971,3.858077147501971
CZ,2025,biomass_boiler,tech_share,0.1624,0.1624,0.1624
CZ,2025,district_heat,tech_share,0.3299,0.3299,0.3299
CZ,2025,gas_boiler,tech_share,0.3503,0.3503,0.3503
CZ,2025,h2_boiler,tech_share,0.0,0.0,0.0
CZ,2025,hp_air,tech_share,0.033,0.033,0.033
CZ,2025,hp_ground,tech_share,0.0127,0.0127,0.0127
CZ,2025,oil_boiler,tech_share,0.0609,0.0609,0.0609
CZ,2025,resistance_heater,tech_share,0.0508,0.0508,0.0508
CZ,2030,biomass_boiler,tech_share,0.18000000000000002,0.18000000000000002,0.18000000000000002
CZ,2030,district_heat,tech_share,0.5776677100000001,0.5776677100000001,0.5776677100000001
CZ,2030,gas_boiler,tech_share,0.24233229000000006,0.24233229000000006,0.24233229000000006
CZ,2030,h2_boiler,tech_share,0.0,0.0,0.0
CZ,2030,hp_air,tech_share,0.0,0.0,0.0
CZ,2030,hp_ground,tech_share,0.0,0.0,0.0
CZ,2030,oil_boiler,tech_share,0.0,0.0,0.0
CZ,2030,resistance_heater,tech_share,0.0,0.0,0.0
CZ,2040,biomass_boiler,tech_share,0.0,0.0,0.0
CZ,2040,district_heat,tech_share,0.5776677094223323,0.5776677094223323,0.5776677094223323
CZ,2040,gas_boiler,tech_share,0.0,0.0,0.0
CZ,2040,h2_boiler,tech_share,0.0,0.0,0.0
CZ,2040,hp_air,tech_share,0.3401064296598936,0.3401064296598936,0.3401064296598936
CZ,2040,hp_ground,tech_share,0.08222586091777415,0.08222586091777415,0.08222586091777415
CZ,2040,oil_boiler,tech_share,0.0,0.0,0.0
CZ,2040,resistance_heater,tech_share,0.0,0.0,0.0
CZ,2050,biomass_boiler,tech_share,0.0,0.0,0.0
CZ,2050,district_heat,tech_share,0.5776677094223323,0.5776677094223323,0.5776677094223323
CZ,2050,gas_boiler,tech_share,0.0,0.0,0.0
CZ,2050,h2_boiler,tech_share,0.0,0.0,0.0
CZ,2050,hp_air,tech_share,0.34010642965989357,0.34010642965989357,0.34010642965989357
CZ,2050,hp_ground,tech_share,0.08222586091777413,0.08222586091777413,0.08222586091777413
CZ,2050,oil_boiler,tech_share,0.0,0.0,0.0
CZ,2050,resistance_heater,tech_share,0.0,0.0,0.0
CZ,2025,all,co2_MtCO2,16.31574017366574,16.31574017366574,16.31574017366574
CZ,2030,all,co2_MtCO2,11.66927018959546,11.66927018959546,11.66927018959546
CZ,2040,all,co2_MtCO2,4.4904014310701434,4.4904014310701434,4.4904014310701434
CZ,2050,all,co2_MtCO2,1.3584408139290887,1.3584408139290887,1.3584408139290887
CZ,2025,all,useful_heat_TWh,77.89502665250816,77.89502665250816,77.89502665250816
CZ,2030,all,useful_heat_TWh,77.86735461430344,77.86735461430344,77.86735461430344
CZ,2040,all,useful_heat_TWh,77.57308112966194,77.57308112966194,77.57308112966194
CZ,2050,all,useful_heat_TWh,78.11924768987103,78.11924768987103,78.11924768987103
DE,2025,biomass_boiler,tech_share,0.1106,0.1106,0.1106
DE,2025,district_heat,tech_share,0.0955,0.0955,0.0955
DE,2025,gas_boiler,tech_share,0.5075,0.5075,0.5075
DE,2025,h2_boiler,tech_share,0.0,0.0,0.0
DE,2025,hp_air,tech_share,0.0452,0.0452,0.0452
DE,2025,hp_ground,tech_share,0.005,0.005,0.005
DE,2025,oil_boiler,tech_share,0.2111,0.2111,0.2111
DE,2025,resistance_heater,tech_share,0.0251,0.0251,0.0251
DE,2030,biomass_boiler,tech_share,0.12,0.12,0.12
DE,2030,district_heat,tech_share,0.3955,0.3955,0.3955
DE,2030,gas_boiler,tech_share,0.4845,0.4845,0.4845
DE,2030,h2_boiler,tech_share,0.0,0.0,0.0
DE,2030,hp_air,tech_share,0.0,0.0,0.0
DE,2030,hp_ground,tech_share,0.0,0.0,0.0
DE,2030,oil_boiler,tech_share,0.0,0.0,0.0
DE,2030,resistance_heater,tech_share,0.0,0.0,0.0
DE,2040,biomass_boiler,tech_share,0.11999999999999998,0.11999999999999998,0.11999999999999998
DE,2040,district_heat,tech_share,0.5219663299999999,0.5219663299999999,0.5219663299999999
DE,2040,gas_boiler,tech_share,0.0,0.0,0.0
DE,2040,h2_boiler,tech_share,0.0,0.0,0.0
DE,2040,hp_air,tech_share,0.35803366999999997,0.35803366999999997,0.35803366999999997
DE,2040,hp_ground,tech_share,0.0,0.0,0.0
DE,2040,oil_boiler,tech_share,0.0,0.0,0.0
DE,2040,resistance_heater,tech_share,0.0,0.0,0.0
DE,2050,biomass_boiler,tech_share,0.0,0.0,0.0
DE,2050,district_heat,tech_share,0.52196633,0.52196633,0.52196633
DE,2050,gas_boiler,tech_share,0.0,0.0,0.0
DE,2050,h2_boiler,tech_share,0.0,0.0,0.0
DE,2050,hp_air,tech_share,0.4780336700000001,0.4780336700000001,0.4780336700000001
DE,2050,hp_ground,tech_share,0.0,0.0,0.0
DE,2050,oil_boiler,tech_share,0.0,0.0,0.0
DE,2050,resistance_heater,tech_share,0.0,0.0,0.0
DE,2025,all,co2_MtCO2,154.77102460020905,154.77102460020905,154.77102460020905
DE,2030,all,co2_MtCO2,106.66877205524763,106.66877205524763,106.66877205524763
DE,2040,all,co2_MtCO2,21.373747002808564,21.373747002808564,21.373747002808564
DE,2050,all,co2_MtCO2,6.742846651112489,6.742846651112489,6.742846651112489
DE,2025,all,useful_heat_TWh,765.821874566804,765.821874566804,765.821874566804
DE,2030,all,useful_heat_TWh,744.7368492088464,744.7368492088464,744.7368492088464
DE,2040,all,useful_heat_TWh,702.4506760933697,702.4506760933697,702.4506760933697
DE,2050,all,useful_heat_TWh,660.6926862404439,660.6926862404439,660.6926862404439
DK,2025,biomass_boiler,tech_share,0.065,0.065,0.065
DK,2025,district_heat,tech_share,0.655,0.655,0.655
