variant,country,year,shadow_eur_tco2,degenerate_low_baseline
COST_OPT_75,AT,2025,0.0,False
COST_OPT_75,AT,2030,0.0,False
COST_OPT_75,AT,2040,0.0,False
COST_OPT_75,AT,2050,0.0,False
COST_OPT_75,BE,2025,0.0,False
COST_OPT_75,BE,2030,0.0,False
COST_OPT_75,BE,2040,0.0,False
COST_OPT_75,BE,2050,0.0,False
COST_OPT_75,BG,2025,0.0,False
COST_OPT_75,BG,2030,0.0,False
COST_OPT_75,BG,2040,0.0,False
COST_OPT_75,BG,2050,0.0,False
COST_OPT_75,CH,2025,0.0,False
COST_OPT_75,CH,2030,0.0,False
COST_OPT_75,CH,2040,0.0,False
COST_OPT_75,CH,2050,0.0,False
COST_OPT_75,CY,2025,0.0,False
COST_OPT_75,CY,2030,206.99,False
COST_OPT_75,CY,2040,0.0,False
COST_OPT_75,CY,2050,81.39,False
COST_OPT_75,CZ,2025,0.0,False
COST_OPT_75,CZ,2030,0.0,False
COST_OPT_75,CZ,2040,0.0,False
COST_OPT_75,CZ,2050,0.0,False
COST_OPT_75,DE,2025,0.0,False
COST_OPT_75,DE,2030,0.0,False
COST_OPT_75,DE,2040,0.0,False
COST_OPT_75,DE,2050,0.0,False
COST_OPT_75,DK,2025,0.0,False
COST_OPT_75,DK,2030,0.0,False
COST_OPT_75,DK,2040,0.0,False
COST_OPT_75,DK,2050,0.0,False
COST_OPT_75,EE,2025,,True
COST_OPT_75,EE,2030,,True
COST_OPT_75,EE,2040,,True
COST_OPT_75,EE,2050,,True
COST_OPT_75,EL,2025,0.0,False
COST_OPT_75,EL,2030,0.0,False
COST_OPT_75,EL,2040,0.0,False
COST_OPT_75,EL,2050,0.0,False
COST_OPT_75,ES,2025,0.0,False
COST_OPT_75,ES,2030,37.23,False
COST_OPT_75,ES,2040,0.0,False
COST_OPT_75,ES,2050,0.0,False
COST_OPT_75,FI,2025,0.0,False
COST_OPT_75,FI,2030,0.0,False
COST_OPT_75,FI,2040,0.0,False
COST_OPT_75,FI,2050,0.0,False
COST_OPT_75,FR,2025,0.0,False
COST_OPT_75,FR,2030,0.0,False
COST_OPT_75,FR,2040,0.0,False
