country,scenario,ocgt_srmc,h2_turbine_srmc,marginal_unit,peak_elec_low,peak_elec,peak_elec_high
IT,H2_PUSH,256.2,301.0,gas_ocgt,286.2,316.2,376.2
IE,CURRENT_POLICIES,155.2,425.9,gas_ocgt,185.2,215.2,275.2
IE,STATED_POLICIES,180.5,311.3,gas_ocgt,210.5,240.5,300.5
IE,NET_ZERO,256.2,311.3,gas_ocgt,286.2,316.2,376.2
IE,H2_PUSH,256.2,277.0,gas_ocgt,286.2,316.2,376.2
FI,CURRENT_POLICIES,155.2,451.4,gas_ocgt,185.2,215.2,275.2
FI,STATED_POLICIES,180.5,321.9,gas_ocgt,210.5,240.5,300.5
FI,NET_ZERO,256.2,321.9,gas_ocgt,286.2,316.2,376.2
FI,H2_PUSH,256.2,283.1,gas_ocgt,286.2,316.2,376.2
AT,CURRENT_POLICIES,155.2,469.2,gas_ocgt,185.2,215.2,275.2
AT,STATED_POLICIES,180.5,329.4,gas_ocgt,210.5,240.5,300.5
AT,NET_ZERO,256.2,329.4,gas_ocgt,286.2,316.2,376.2
AT,H2_PUSH,256.2,287.4,gas_ocgt,286.2,316.2,376.2
FR,CURRENT_POLICIES,155.2,394.9,gas_ocgt,185.2,215.2,275.2
FR,STATED_POLICIES,180.5,232.8,gas_ocgt,210.5,240.5,300.5
FR,NET_ZERO,256.2,232.8,h2_turbine,262.8,292.8,352.8
FR,H2_PUSH,256.2,184.2,h2_turbine,214.2,244.2,304.2
DE,CURRENT_POLICIES,155.2,394.9,gas_ocgt,185.2,215.2,275.2
DE,STATED_POLICIES,180.5,232.8,gas_ocgt,210.5,240.5,300.5
DE,NET_ZERO,256.2,232.8,h2_turbine,262.8,292.8,352.8
DE,H2_PUSH,256.2,184.2,h2_turbine,214.2,244.2,304.2
NL,CURRENT_POLICIES,155.2,354.1,gas_ocgt,185.2,215.2,275.2
NL,STATED_POLICIES,180.5,215.8,gas_ocgt,210.5,240.5,300.5
NL,NET_ZERO,256.2,215.8,h2_turbine,245.8,275.8,335.8
NL,H2_PUSH,256.2,174.3,h2_turbine,204.3,234.3,294.3
SE,CURRENT_POLICIES,155.2,448.8,gas_ocgt,185.2,215.2,275.2
SE,STATED_POLICIES,180.5,320.9,gas_ocgt,210.5,240.5,300.5
SE,NET_ZERO,256.2,320.9,gas_ocgt,286.2,316.2,376.2
SE,H2_PUSH,256.2,282.5,gas_ocgt,286.2,316.2,376.2
