country,year,population,source_dataset
CY,2031,968999,Eurostat proj_19np EUROPOP2023 baseline
CY,2032,974847,Eurostat proj_19np EUROPOP2023 baseline
CY,2033,980435,Eurostat proj_19np EUROPOP2023 baseline
CY,2034,985748,Eurostat proj_19np EUROPOP2023 baseline
CY,2035,990814,Eurostat proj_19np EUROPOP2023 baseline
CY,2036,995624,Eurostat proj_19np EUROPOP2023 baseline
CY,2037,1000227,Eurostat proj_19np EUROPOP2023 baseline
CY,2038,1004616,Eurostat proj_19np EUROPOP2023 baseline
CY,2039,1008831,Eurostat proj_19np EUROPOP2023 baseline
CY,2040,1012858,Eurostat proj_19np EUROPOP2023 baseline
CY,2041,1016713,Eurostat proj_19np EUROPOP2023 baseline
CY,2042,1020420,Eurostat proj_19np EUROPOP2023 baseline
CY,2043,1023996,Eurostat proj_19np EUROPOP2023 baseline
CY,2044,1027454,Eurostat proj_19np EUROPOP2023 baseline
CY,2045,1030807,Eurostat proj_19np EUROPOP2023 baseline
CY,2046,1034057,Eurostat proj_19np EUROPOP2023 baseline
CY,2047,1037208,Eurostat proj_19np EUROPOP2023 baseline
CY,2048,1040281,Eurostat proj_19np EUROPOP2023 baseline
CY,2049,1043274,Eurostat proj_19np EUROPOP2023 baseline
CY,2050,1046219,Eurostat proj_19np EUROPOP2023 baseline
CZ,2025,10789806,Eurostat proj_19np EUROPOP2023 baseline
CZ,2026,10789112,Eurostat proj_19np EUROPOP2023 baseline
CZ,2027,10785808,Eurostat proj_19np EUROPOP2023 baseline
CZ,2028,10780087,Eurostat proj_19np EUROPOP2023 baseline
CZ,2029,10772121,Eurostat proj_19np EUROPOP2023 baseline
CZ,2030,10762174,Eurostat proj_19np EUROPOP2023 baseline
CZ,2031,10750576,Eurostat proj_19np EUROPOP2023 baseline
CZ,2032,10737639,Eurostat proj_19np EUROPOP2023 baseline
CZ,2033,10723742,Eurostat proj_19np EUROPOP2023 baseline
CZ,2034,10709215,Eurostat proj_19np EUROPOP2023 baseline
CZ,2035,10694436,Eurostat proj_19np EUROPOP2023 baseline
CZ,2036,10679731,Eurostat proj_19np EUROPOP2023 baseline
CZ,2037,10665315,Eurostat proj_19np EUROPOP2023 baseline
CZ,2038,10651410,Eurostat proj_19np EUROPOP2023 baseline
CZ,2039,10638095,Eurostat proj_19np EUROPOP2023 baseline
CZ,2040,10625402,Eurostat proj_19np EUROPOP2023 baseline
CZ,2041,10613339,Eurostat proj_19np EUROPOP2023 baseline
CZ,2042,10601912,Eurostat proj_19np EUROPOP2023 baseline
CZ,2043,10591102,Eurostat proj_19np EUROPOP2023 baseline
CZ,2044,10580909,Eurostat proj_19np EUROPOP2023 baseline
CZ,2045,10571354,Eurostat proj_19np EUROPOP2023 baseline
CZ,2046,10562398,Eurostat proj_19np EUROPOP2023 baseline
CZ,2047,10553936,Eurostat proj_19np EUROPOP2023 baseline
CZ,2048,10545855,Eurostat proj_19np EUROPOP2023 baseline
CZ,2049,10538037,Eurostat proj_19np EUROPOP2023 baseline
CZ,2050,10530251,Eurostat proj_19np EUROPOP2023 baseline
DE,2025,83482307,Eurostat proj_19np EUROPOP2023 baseline
DE,2026,83491788,Eurostat proj_19np EUROPOP2023 baseline
DE,2027,83492736,Eurostat proj_19np EUROPOP2023 baseline
DE,2028,83486002,Eurostat proj_19np EUROPOP2023 baseline
DE,2029,83472624,Eurostat proj_19np EUROPOP2023 baseline
DE,2030,83453697,Eurostat proj_19np EUROPOP2023 baseline
DE,2031,83430460,Eurostat proj_19np EUROPOP2023 baseline
DE,2032,83404200,Eurostat proj_19np EUROPOP2023 baseline
DE,2033,83376144,Eurostat proj_19np EUROPOP2023 baseline
DE,2034,83347380,Eurostat proj_19np EUROPOP2023 baseline
DE,2035,83318670,Eurostat proj_19np EUROPOP2023 baseline
DE,2036,83290535,Eurostat proj_19np EUROPOP2023 baseline
DE,2037,83263006,Eurostat proj_19np EUROPOP2023 baseline
DE,2038,83235645,Eurostat proj_19np EUROPOP2023 baseline
DE,2039,83207734,Eurostat proj_19np EUROPOP2023 baseline
DE,2040,83178426,Eurostat proj_19np EUROPOP2023 baseline
DE,2041,83146770,Eurostat proj_19np EUROPOP2023 baseline
DE,2042,83112056,Eurostat proj_19np EUROPOP2023 baseline
DE,2043,83073641,Eurostat proj_19np EUROPOP2023 baseline
DE,2044,83030889,Eurostat proj_19np EUROPOP2023 baseline
DE,2045,82983422,Eurostat proj_19np EUROPOP2023 baseline
DE,2046,82931101,Eurostat proj_19np EUROPOP2023 baseline
DE,2047,82873582,Eurostat proj_19np EUROPOP2023 baseline
DE,2048,82810765,Eurostat proj_19np EUROPOP2023 baseline
DE,2049,82742757,Eurostat proj_19np EUROPOP2023 baseline
DE,2050,82669724,Eurostat proj_19np EUROPOP2023 baseline
DK,2025,5884275,Eurostat proj_19np EUROPOP2023 baseline
DK,2026,5901887,Eurostat proj_19np EUROPOP2023 baseline
DK,2027,5918719,Eurostat proj_19np EUROPOP2023 baseline
DK,2028,5934660,Eurostat proj_19np EUROPOP2023 baseline
DK,2029,5949642,Eurostat proj_19np EUROPOP2023 baseline
DK,2030,5963578,Eurostat proj_19np EUROPOP2023 baseline
DK,2031,5976484,Eurostat proj_19np EUROPOP2023 baseline
DK,2032,5988405,Eurostat proj_19np EUROPOP2023 baseline
DK,2033,5999379,Eurostat proj_19np EUROPOP2023 baseline
DK,2034,6009509,Eurostat proj_19np EUROPOP2023 baseline
DK,2035,6018816,Eurostat proj_19np EUROPOP2023 baseline
DK,2036,6027395,Eurostat proj_19np EUROPOP2023 baseline
DK,2037,6035318,Eurostat proj_19np EUROPOP2023 baseline
DK,2038,6042605,Eurostat proj_19np EUROPOP2023 baseline
DK,2039,6049319,Eurostat proj_19np EUROPOP2023 baseline
DK,2040,6055503,Eurostat proj_19np EUROPOP2023 baseline
DK,2041,6061205,Eurostat proj_19np EUROPOP2023 baseline
DK,2042,6066460,Eurostat proj_19np EUROPOP2023 baseline
DK,2043,6071302,Eurostat proj_19np EUROPOP2023 baseline
DK,2044,6075826,Eurostat proj_19np EUROPOP2023 baseline
DK,2045,6080087,Eurostat proj_19np EUROPOP2023 baseline
DK,2046,6084096,Eurostat proj_19np EUROPOP2023 baseline
DK,2047,6087897,Eurostat proj_19np EUROPOP2023 baseline
DK,2048,6091505,Eurostat proj_19np EUROPOP2023 baseline
DK,2049,6094933,Eurostat proj_19np EUROPOP2023 baseline
DK,2050,6098190,Eurostat proj_19np EUROPOP2023 baseline
EE,2025,1322440,Eurostat proj_19np EUROPOP2023 baseline
EE,2026,1319834,Eurostat proj_19np EUROPOP2023 baseline
EE,2027,1317102,Eurostat proj_19np EUROPOP2023 baseline
EE,2028,1314274,Eurostat proj_19np EUROPOP2023 baseline
EE,2029,1311370,Eurostat proj_19np EUROPOP2023 baseline
EE,2030,1308435,Eurostat proj_19np EUROPOP2023 baseline
EE,2031,1305476,Eurostat proj_19np EUROPOP2023 baseline
EE,2032,1302547,Eurostat proj_19np EUROPOP2023 baseline
EE,2033,1299644,Eurostat proj_19np EUROPOP2023 baseline
EE,2034,1296804,Eurostat proj_19np EUROPOP2023 baseline
EE,2035,1294043,Eurostat proj_19np EUROPOP2023 baseline
EE,2036,1291386,Eurostat proj_19np EUROPOP2023 baseline
EE,2037,1288814,Eurostat proj_19np EUROPOP2023 baseline
EE,2038,1286340,Eurostat proj_19np EUROPOP2023 baseline
EE,2039,1283918,Eurostat proj_19np EUROPOP2023 baseline
EE,2040,1281555,Eurostat proj_19np EUROPOP2023 baseline
EE,2041,1279213,Eurostat proj_19np EUROPOP2023 baseline
EE,2042,1276862,Eurostat proj_19np EUROPOP2023 baseline
EE,2043,1274500,Eurostat proj_19np EUROPOP2023 baseline
EE,2044,1272095,Eurostat proj_19np EUROPOP2023 baseline
EE,2045,1269633,Eurostat proj_19np EUROPOP2023 baseline
EE,2046,1267111,Eurostat proj_19np EUROPOP2023 baseline
EE,2047,1264506,Eurostat proj_19np EUROPOP2023 baseline
EE,2048,1261825,Eurostat proj_19np EUROPOP2023 baseline
EE,2049,1259071,Eurostat proj_19np EUROPOP2023 baseline
EE,2050,1256223,Eurostat proj_19np EUROPOP2023 baseline
EL,2025,10510196,Eurostat proj_19np EUROPOP2023 baseline
EL,2026,10468367,Eurostat proj_19np EUROPOP2023 baseline
EL,2027,10426627,Eurostat proj_19np EUROPOP2023 baseline
EL,2028,10385130,Eurostat proj_19np EUROPOP2023 baseline
EL,2029,10343958,Eurostat proj_19np EUROPOP2023 baseline
EL,2030,10303200,Eurostat proj_19np EUROPOP2023 baseline
EL,2031,10262827,Eurostat proj_19np EUROPOP2023 baseline
EL,2032,10222834,Eurostat proj_19np EUROPOP2023 baseline
EL,2033,10183181,Eurostat proj_19np EUROPOP2023 baseline
EL,2034,10143784,Eurostat proj_19np EUROPOP2023 baseline
EL,2035,10104622,Eurostat proj_19np EUROPOP2023 baseline
EL,2036,10065636,Eurostat proj_19np EUROPOP2023 baseline
EL,2037,10026801,Eurostat proj_19np EUROPOP2023 baseline
EL,2038,9988088,Eurostat proj_19np EUROPOP2023 baseline
EL,2039,9949442,Eurostat proj_19np EUROPOP2023 baseline
EL,2040,9910798,Eurostat proj_19np EUROPOP2023 baseline
EL,2041,9872052,Eurostat proj_19np EUROPOP2023 baseline
EL,2042,9833100,Eurostat proj_19np EUROPOP2023 baseline
EL,2043,9793822,Eurostat proj_19np EUROPOP2023 baseline
EL,2044,9754101,Eurostat proj_19np EUROPOP2023 baseline
EL,2045,9713851,Eurostat proj_19np EUROPOP2023 baseline
EL,2046,9672976,Eurostat proj_19np EUROPOP2023 baseline
EL,2047,9631490,Eurostat proj_19np EUROPOP2023 baseline
EL,2048,9589378,Eurostat proj_19np EUROPOP2023 baseline
EL,2049,9546591,Eurostat proj_19np EUROPOP2023 baseline
EL,2050,9503127,Eurostat proj_19np EUROPOP2023 baseline
ES,2025,48310619,Eurostat proj_19np EUROPOP2023 baseline
ES,2026,48404190,Eurostat proj_19np EUROPOP2023 baseline
ES,2027,48494124,Eurostat proj_19np EUROPOP2023 baseline
ES,2028,48580964,Eurostat proj_19np EUROPOP2023 baseline
ES,2029,48665002,Eurostat proj_19np EUROPOP2023 baseline
ES,2030,48746399,Eurostat proj_19np EUROPOP2023 baseline
ES,2031,48825162,Eurostat proj_19np EUROPOP2023 baseline
ES,2032,48901199,Eurostat proj_19np EUROPOP2023 baseline
ES,2033,48974332,Eurostat proj_19np EUROPOP2023 baseline
ES,2034,49044321,Eurostat proj_19np EUROPOP2023 baseline
ES,2035,49110869,Eurostat proj_19np EUROPOP2023 baseline
ES,2036,49173584,Eurostat proj_19np EUROPOP2023 baseline
ES,2037,49232068,Eurostat proj_19np EUROPOP2023 baseline
