n_person,building,unit,geo,2021
1,NRES,NR,CZ03,5896
1,NRES,NR,CZ031,3445
1,NRES,NR,CZ032,2451
1,NRES,NR,CZ04,4935
1,NRES,NR,CZ041,1695
1,NRES,NR,CZ042,3240
1,NRES,NR,CZ05,6573
1,NRES,NR,CZ051,2209
1,NRES,NR,CZ052,2239
1,NRES,NR,CZ053,2125
1,NRES,NR,CZ06,6407
1,NRES,NR,CZ063,2247
1,NRES,NR,CZ064,4160
1,NRES,NR,CZ07,5334
1,NRES,NR,CZ071,3006
1,NRES,NR,CZ072,2328
1,NRES,NR,CZ08,4861
1,NRES,NR,CZ080,4861
1,NRES,NR,CZZ,0
1,NRES,NR,CZZZ,0
1,NRES,NR,CZZZZ,0
1,NRES,NR,DE,373733
1,NRES,NR,DE1,46749
1,NRES,NR,DE11,15550
1,NRES,NR,DE111,2828
1,NRES,NR,DE112,1319
1,NRES,NR,DE113,2064
1,NRES,NR,DE114,962
1,NRES,NR,DE115,1480
1,NRES,NR,DE116,1793
1,NRES,NR,DE117,651
1,NRES,NR,DE118,971
1,NRES,NR,DE119,363
1,NRES,NR,DE11A,719
1,NRES,NR,DE11B,613
1,NRES,NR,DE11C,556
1,NRES,NR,DE11D,1234
1,NRES,NR,DE12,10792
1,NRES,NR,DE121,285
1,NRES,NR,DE122,912
1,NRES,NR,DE123,1231
1,NRES,NR,DE124,712
1,NRES,NR,DE125,1395
1,NRES,NR,DE126,1759
1,NRES,NR,DE127,459
1,NRES,NR,DE128,1527
1,NRES,NR,DE129,519
1,NRES,NR,DE12A,697
1,NRES,NR,DE12B,614
1,NRES,NR,DE12C,687
1,NRES,NR,DE13,11050
1,NRES,NR,DE131,1034
1,NRES,NR,DE132,1549
1,NRES,NR,DE133,713
1,NRES,NR,DE134,2043
1,NRES,NR,DE135,769
1,NRES,NR,DE136,1151
1,NRES,NR,DE137,579
1,NRES,NR,DE138,1373
1,NRES,NR,DE139,759
1,NRES,NR,DE13A,1084
1,NRES,NR,DE14,9355
1,NRES,NR,DE141,1185
1,NRES,NR,DE142,891
1,NRES,NR,DE143,986
1,NRES,NR,DE144,517
1,NRES,NR,DE145,840
1,NRES,NR,DE146,1056
1,NRES,NR,DE147,1112
1,NRES,NR,DE148,1896
1,NRES,NR,DE149,872
1,NRES,NR,DE2,60136
1,NRES,NR,DE21,21955
1,NRES,NR,DE211,441
1,NRES,NR,DE212,5859
1,NRES,NR,DE213,298
1,NRES,NR,DE214,483
1,NRES,NR,DE215,628
1,NRES,NR,DE216,865
1,NRES,NR,DE217,610
1,NRES,NR,DE218,681
1,NRES,NR,DE219,422
1,NRES,NR,DE21A,589
1,NRES,NR,DE21B,743
1,NRES,NR,DE21C,748
1,NRES,NR,DE21D,807
1,NRES,NR,DE21E,572
1,NRES,NR,DE21F,913
1,NRES,NR,DE21G,530
1,NRES,NR,DE21H,1451
1,NRES,NR,DE21I,430
1,NRES,NR,DE21J,491
1,NRES,NR,DE21K,1560
1,NRES,NR,DE21L,663
1,NRES,NR,DE21M,1249
1,NRES,NR,DE21N,913
1,NRES,NR,DE22,6329
1,NRES,NR,DE221,359
1,NRES,NR,DE222,287
1,NRES,NR,DE223,207
1,NRES,NR,DE224,804
1,NRES,NR,DE225,462
1,NRES,NR,DE226,412
1,NRES,NR,DE227,642
1,NRES,NR,DE228,1023
1,NRES,NR,DE229,489
