building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,7453,43745417.59082301,MFH_HIGH,5310551.0,16717992.775245113
MFH_LOW,260824,230342029.66364282,MFH_HIGH,5310551.0,16717992.775245113
NON_RESIDENTIAL,4596276,0.0,OTHER,21043976.0,66580133.22798947
SFH,2257201,339569325.60289675,SFH,5071123.0,16132873.996765412
