nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
CY000,MFH_HIGH,7654,3484715.2280888325,22257451.51322978,7.211092239351973,21.8,EUBUCCO
CY000,MFH_LOW,174078,50960801.36221989,121131214.55928808,2.7907145072898354,8.3,EUBUCCO
CY000,NON_RESIDENTIAL,193392,39516152.23262043,0.0,1.2565928270042195,6.4,EUBUCCO
CY000,SFH,515569,44806859.00950989,57158209.19524643,1.3184324503606695,5.9,EUBUCCO
