building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,4765,14970455.899407743,MFH_HIGH,2838995.0,9598318.585644221
MFH_LOW,827797,303298479.3967658,MFH_HIGH,2838995.0,9598318.585644221
NON_RESIDENTIAL,4231697,0.0,OTHER,19799534.0,80195849.8961025
SFH,4106130,521190888.2316897,SFH,6972684.0,22045831.518253278
