source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",81.837,133.4,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),81.837,133.4,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),85.0,138.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,88.551,144.3,BSO per-cohort intensities × SE stock weights × our residential area
Odyssee-Mure 2023 SE residential (back-calculated),47.0,76.6,National total only; final-energy basis.
