building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,9312,34475576.47323547,MFH_HIGH,3334397.0,13929908.910337364
MFH_LOW,266045,185123433.86492416,MFH_HIGH,3334397.0,13929908.910337364
NON_RESIDENTIAL,4274996,0.0,OTHER,11315323.0,54655732.59227089
SFH,2083011,306076590.6196526,SFH,2226821.0,9552358.497391744
