source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",51.668,144.6,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),51.668,144.6,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),55.9,156.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,52.144,146.0,BSO per-cohort intensities × DK stock weights × our residential area
Odyssee-Mure 2022 DK residential (back-calculated),53.0,148.3,National total only; final-energy basis. ~63pct DH delivery.
