building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,119,969873.45659385,MFH_HIGH,271190.0,1229859.3165252102
MFH_LOW,27394,23824706.467509314,MFH_HIGH,271190.0,1229859.3165252102
NON_RESIDENTIAL,87247,0.0,OTHER,1216158.0,5515333.333333333
SFH,71411,13722089.000971617,SFH,336889.0,1527807.3501414566
