source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA ES (this model, all classes)",21.728,20.6,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),21.728,20.6,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),20.97,19.9,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,73.048,69.3,BSO per-cohort intensities × PT stock weights × our residential area
Odyssee-Mure 2022 PT residential (back-calculated),9.0,8.5,National total only; final-energy basis -- definitional gap vs Hotmaps useful demand.
