building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,166431,447107892.81798565,MFH_HIGH,9049527.0,26295028.970227655
MFH_LOW,2426349,1276543099.3519683,MFH_HIGH,9049527.0,26295028.970227655
NON_RESIDENTIAL,28230669,0.0,OTHER,25134726.0,480243666.6666667
SFH,21787155,2672800034.9298944,SFH,3517836.0,8588304.363105679
