source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",573.81,130.5,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),573.81,130.5,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),515.1,117.2,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2020 weighted-avg implied total,744.879,169.4,BSO per-cohort intensities × FR stock weights × our residential area
Odyssee-Mure 2017 FR residential (back-calculated),310.0,70.5,National total only — disaggregation by NUTS3 not available from Odyssee.
