country,scenario,central_pct_yr,low_pct_yr,high_pct_yr,sigma_pct_yr,source
IE,CURRENT_POLICIES,0.385,0.252,0.518,0.082,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
IE,H2_PUSH,0.9,0.58,1.22,0.192,REF x 1.636
IE,NET_ZERO,1.5,0.97,2.02,0.32,REF x 2.727
IE,STATED_POLICIES,0.55,0.36,0.74,0.117,baseline envelope rate (incl SEAI NRP lift)
IT,CURRENT_POLICIES,0.595,0.385,0.805,0.127,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
IT,H2_PUSH,1.39,0.9,1.88,0.297,REF x 1.636
IT,NET_ZERO,2.32,1.5,3.13,0.494,REF x 2.727
IT,STATED_POLICIES,0.85,0.55,1.15,0.181,baseline envelope rate (incl ENEA Superbonus lift)
LT,CURRENT_POLICIES,0.294,0.189,0.399,0.062,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
LT,H2_PUSH,0.69,0.45,0.93,0.147,REF x 1.636
LT,NET_ZERO,1.15,0.75,1.55,0.244,REF x 2.727
LT,STATED_POLICIES,0.42,0.27,0.57,0.089,baseline envelope rate
LU,CURRENT_POLICIES,0.189,0.126,0.252,0.04,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
LU,H2_PUSH,0.44,0.29,0.6,0.094,REF x 1.636
LU,NET_ZERO,0.74,0.48,0.99,0.157,REF x 2.727
LU,STATED_POLICIES,0.27,0.18,0.36,0.057,baseline envelope rate (lowest EU after FI)
LV,CURRENT_POLICIES,0.294,0.189,0.399,0.062,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
LV,H2_PUSH,0.69,0.45,0.93,0.147,REF x 1.636
LV,NET_ZERO,1.15,0.75,1.55,0.244,REF x 2.727
LV,STATED_POLICIES,0.42,0.27,0.57,0.089,baseline envelope rate
MT,CURRENT_POLICIES,0.224,0.147,0.301,0.048,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
MT,H2_PUSH,0.52,0.34,0.71,0.112,REF x 1.636
MT,NET_ZERO,0.87,0.57,1.18,0.186,REF x 2.727
MT,STATED_POLICIES,0.32,0.21,0.43,0.068,baseline envelope rate
NL,CURRENT_POLICIES,0.329,0.217,0.441,0.07,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
NL,H2_PUSH,0.77,0.5,1.04,0.164,REF x 1.636
NL,NET_ZERO,1.28,0.83,1.73,0.273,REF x 2.727
NL,STATED_POLICIES,0.47,0.31,0.63,0.1,baseline envelope rate
PL,CURRENT_POLICIES,0.525,0.343,0.707,0.112,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
PL,H2_PUSH,1.23,0.8,1.66,0.262,REF x 1.636
PL,NET_ZERO,2.05,1.33,2.76,0.437,REF x 2.727
PL,STATED_POLICIES,0.75,0.49,1.01,0.16,baseline envelope rate
PT,CURRENT_POLICIES,0.476,0.308,0.644,0.102,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
PT,H2_PUSH,1.11,0.72,1.5,0.237,REF x 1.636
PT,NET_ZERO,1.85,1.2,2.5,0.395,REF x 2.727
PT,STATED_POLICIES,0.68,0.44,0.92,0.145,baseline envelope rate
RO,CURRENT_POLICIES,0.588,0.385,0.791,0.125,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
RO,H2_PUSH,1.37,0.89,1.86,0.293,REF x 1.636
RO,NET_ZERO,2.29,1.49,3.09,0.488,REF x 2.727
RO,STATED_POLICIES,0.84,0.55,1.13,0.179,baseline envelope rate
SE,CURRENT_POLICIES,0.308,0.203,0.413,0.066,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
SE,H2_PUSH,0.72,0.47,0.97,0.154,REF x 1.636
SE,NET_ZERO,1.2,0.78,1.62,0.255,REF x 2.727
SE,STATED_POLICIES,0.44,0.29,0.59,0.094,baseline envelope rate
SI,CURRENT_POLICIES,0.371,0.238,0.504,0.079,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
SI,H2_PUSH,0.87,0.56,1.18,0.186,REF x 1.636
SI,NET_ZERO,1.45,0.94,1.96,0.309,REF x 2.727
SI,STATED_POLICIES,0.53,0.34,0.72,0.113,baseline envelope rate
SK,CURRENT_POLICIES,0.336,0.217,0.455,0.071,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
SK,H2_PUSH,0.79,0.51,1.07,0.168,REF x 1.636
SK,NET_ZERO,1.31,0.85,1.77,0.279,REF x 2.727
SK,STATED_POLICIES,0.48,0.31,0.65,0.102,baseline envelope rate
UK,CURRENT_POLICIES,0.322,0.21,0.434,0.069,"STATED_POLICIES x 0.70 (current-measures-only, slower renovation)"
UK,H2_PUSH,0.75,0.49,1.02,0.16,REF x 1.636
UK,NET_ZERO,1.25,0.81,1.69,0.266,REF x 2.727
UK,STATED_POLICIES,0.46,0.3,0.62,0.098,baseline envelope rate
