source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",17.415,100.2,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),17.415,100.2,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),13.99,80.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,17.69,101.8,BSO per-cohort intensities × SI stock weights × our residential area
Odyssee-Mure 2011 SI residential (back-calculated),8.6,49.5,ZRMK gives total residential primary ~13.9 TWh (matches Hotmaps) and space-heating need ~8.58 TWh.
