building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,7654,22257451.51322978,MFH_HIGH,295857.0,356274.3072150502
MFH_LOW,174078,121131214.55928808,MFH_HIGH,295857.0,356274.3072150502
NON_RESIDENTIAL,193392,0.0,OTHER,1745165.0,2101547.2047338854
SFH,515569,57158209.19524643,SFH,572307.0,689178.4880510643
