building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,5108,38767948.30207517,MFH_HIGH,3156358.0,9531851.332563214
MFH_LOW,621128,345569130.7163917,MFH_HIGH,3156358.0,9531851.332563214
NON_RESIDENTIAL,5125121,0.0,OTHER,26685690.0,120647010.89639229
SFH,5811310,597970779.1900138,SFH,10175635.0,30469137.7710445
