source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",35.055,149.5,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),35.055,149.5,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),34.83,148.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,34.35,146.4,BSO per-cohort intensities × IE stock weights × our residential area
Odyssee-Mure 2023 IE residential (back-calculated),21.6,92.1,National total only; final-energy basis.
