building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,159198,257915331.70938748,MFH_HIGH,47117141.0,136322128.2247797
MFH_LOW,4242555,1811758276.7169383,MFH_HIGH,47117141.0,136322128.2247797
NON_RESIDENTIAL,39434284,0.0,OTHER,179878207.0,534258805.6172335
SFH,23310944,2431782508.8641195,SFH,41086640.0,123121066.1579868
