source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA SI (this model, all classes)",17.766,95.5,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),17.766,95.5,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),18.23,98.0,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,18.078,97.2,BSO per-cohort intensities × HR stock weights × our residential area
Odyssee-Mure 2023 HR residential (back-calculated),17.2,92.4,National total only; final-energy basis -- definitional gap vs Hotmaps useful demand.
