building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,1653,9166618.319309488,MFH_HIGH,581689.0,1016113.1766111495
MFH_LOW,175858,105587745.86148372,MFH_HIGH,581689.0,1016113.1766111495
NON_RESIDENTIAL,1305270,0.0,OTHER,2455633.0,16066930.612251068
SFH,1425840,200613688.759871,SFH,628687.0,1142956.2111377837
