building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,6223,29030916.0430589,MFH_HIGH,1791810.0,4244644.509606385
MFH_LOW,377995,221711200.86829135,MFH_HIGH,1791810.0,4244644.509606385
NON_RESIDENTIAL,2458737,0.0,OTHER,13045512.0,56426752.75299606
SFH,3090824,413599590.6985272,SFH,4726297.0,11308602.73739756
