building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,342468,1241478173.6510844,MFH_HIGH,31708693.0,40469716.43570775
MFH_LOW,3191970,1773884404.8564677,MFH_HIGH,31708693.0,40469716.43570775
NON_RESIDENTIAL,5380540,0.0,OTHER,91723920.0,116223904.38111953
SFH,9022734,1066908341.7772219,SFH,13560820.0,16891379.18317273
