nuts_id,country,building_type,dwellings_2021,dwellings_share,heat_2015_MWh
BE100,BE,MFH_HIGH,956484.0,0.25495715368695804,3619116.796586369
BE100,BE,OTHER,2510144.0,0.6690955306982611,9497811.058261817
BE100,BE,SFH,284920.0,0.07594731561478088,1078072.1451518147
BE211,BE,MFH_HIGH,445180.0,0.14001370006912936,1453762.24781777
BE211,BE,OTHER,2126024.0,0.6686564685650089,6942660.113110487
BE211,BE,SFH,608342.0,0.19132983136586168,1986577.6390717418
BE212,BE,MFH_HIGH,69634.0,0.0669620791189939,217827.64337408717
BE212,BE,OTHER,695588.0,0.6688976461243463,2175924.0428424985
BE212,BE,SFH,274680.0,0.26414027475665974,859248.3137834142
BE213,BE,MFH_HIGH,81279.0,0.0581436440374848,238854.08970598757
BE213,BE,OTHER,934850.0,0.6687531296945418,2747237.8567851777
BE213,BE,SFH,381771.0,0.2731032262679734,1121908.0535088347
BE221,BE,OTHER,0.0,1.0,3906000.0
BE222,BE,OTHER,0.0,1.0,2032000.0
BE223,BE,MFH_HIGH,33666.0,0.05481276457180072,96470.46564636927
BE223,BE,OTHER,410696.0,0.6686681862585477,1176856.007815044
BE223,BE,SFH,169838.0,0.2765190491696516,486673.52653858677
BE231,BE,MFH_HIGH,50044.0,0.055388858697757504,145118.80978812466
BE231,BE,OTHER,603758.0,0.6682412786675861,1750792.1501090755
BE231,BE,SFH,249701.0,0.27636986263465646,724089.0401027999
BE232,BE,MFH_HIGH,29539.0,0.048021368118844714,83605.20189490865
BE232,BE,OTHER,411210.0,0.6685015330292202,1163861.1690038724
BE232,BE,SFH,174373.0,0.28347709885193506,493533.62910121895
BE233,BE,MFH_HIGH,11406.0,0.04321027408936791,32450.9158411153
BE233,BE,OTHER,176644.0,0.6691947796109333,502565.2794878109
BE233,BE,SFH,75915.0,0.28759494629969884,215983.80467107383
BE234,BE,MFH_HIGH,131845.0,0.07660690307537395,419269.5805315216
BE234,BE,OTHER,1149994.0,0.6681897599094511,3657002.555984426
BE234,BE,SFH,439220.0,0.25520333701517495,1396727.8634840525
BE235,BE,MFH_HIGH,13722.0,0.03676573033105769,41251.14943144673
BE235,BE,OTHER,249410.0,0.6682510422583514,749777.6694138703
BE235,BE,SFH,110096.0,0.29498322741059085,330971.18115468294
BE236,BE,MFH_HIGH,53336.0,0.06996720451265906,153088.24347369804
BE236,BE,OTHER,509166.0,0.6679338842975207,1461439.3388429752
BE236,BE,SFH,199798.0,0.26209891118982026,573472.4176833268
BE241,BE,MFH_HIGH,114411.0,0.06118915900806079,387633.3223160651
BE241,BE,OTHER,1250666.0,0.6688797470520785,4237353.197574917
BE241,BE,SFH,504715.0,0.2699310939398607,1710013.4801090176
BE242,BE,MFH_HIGH,94282.0,0.060816895230477466,297455.4345722653
BE242,BE,OTHER,1036648.0,0.6686929934333595,3270577.4308825615
BE242,BE,SFH,419330.0,0.27049011133616296,1322967.134545173
BE251,BE,MFH_HIGH,70632.0,0.07952164519466658,231169.42258089574
BE251,BE,OTHER,594066.0,0.668834319773117,1944301.3675804513
BE251,BE,SFH,223513.0,0.25164403503221644,731529.2098386532
BE252,BE,MFH_HIGH,4518.0,0.029147446856553013,12795.729170026772
BE252,BE,OTHER,103556.0,0.6680816747846844,293287.8552304765
BE252,BE,SFH,46931.0,0.3027708783587626,132916.41559949677
BE253,BE,MFH_HIGH,10160.0,0.03168366233199239,30669.785137368635
BE253,BE,OTHER,214470.0,0.6688184114510244,647416.2222845916
BE253,BE,SFH,96040.0,0.2994979262169832,289913.9925780397
BE254,BE,MFH_HIGH,42171.0,0.047543351134891616,133026.29647542673
BE254,BE,OTHER,592798.0,0.668317172133966,1869951.4476308369
BE254,BE,SFH,252032.0,0.28413947673114237,795022.2558937364
BE255,BE,MFH_HIGH,67933.0,0.13110555721743494,220126.23056807328
BE255,BE,OTHER,346602.0,0.6689156719514431,1123109.413206473
BE255,BE,SFH,103620.0,0.19997877083112195,335764.3562254537
BE256,BE,MFH_HIGH,21145.0,0.045076541651833016,63603.00027073638
BE256,BE,OTHER,313678.0,0.668693281260992,943526.2198592598
BE256,BE,SFH,134268.0,0.28623017708717496,403870.77987000387
BE257,BE,MFH_HIGH,8203.0,0.029434138289856113,24430.334780580575
BE257,BE,OTHER,186446.0,0.6690085758369515,555277.1179446698
BE257,BE,SFH,84041.0,0.3015572858731924,250292.5472747497
BE258,BE,MFH_HIGH,26530.0,0.1285442952109619,96922.39858906527
BE258,BE,OTHER,137874.0,0.6680330251758824,503696.9009826153
BE258,BE,SFH,41984.0,0.2034226796131558,153380.70042831948
BE310,BE,MFH_HIGH,76290.0,0.06346990441660351,236425.39395184806
BE310,BE,OTHER,803270.0,0.668285097925352,2489361.989771936
BE310,BE,SFH,322427.0,0.26824499765804455,999212.616276216
BE321,BE,OTHER,0.0,1.0,798000.0
BE322,BE,OTHER,0.0,1.0,4316000.0
BE323,BE,MFH_HIGH,39233.0,0.04800846783568483,125446.12645464447
BE323,BE,OTHER,545986.0,0.6681097881817403,1745770.8765188872
BE323,BE,SFH,231991.0,0.2838817439825749,741782.9970264682
BE324,BE,OTHER,0.0,1.0,694000.0
BE325,BE,OTHER,0.0,1.0,1698000.0
BE326,BE,OTHER,0.0,1.0,1446000.0
BE327,BE,OTHER,0.0,1.0,1445000.0
BE331,BE,MFH_HIGH,14098.0,0.04053863650087559,42079.10468790886
BE331,BE,OTHER,232438.0,0.668372789827672,693770.9558411236
BE331,BE,SFH,101231.0,0.2910885736714524,302149.9394709676
BE332,BE,MFH_HIGH,167918.0,0.08540255946259627,541537.6295523229
BE332,BE,OTHER,1313684.0,0.6681354942594678,4236647.169099285
BE332,BE,SFH,484592.0,0.24646194627793594,1562815.2013483918
BE334,BE,MFH_HIGH,11813.0,0.047759202733024725,31950.906628393543
BE334,BE,OTHER,165258.0,0.6681275142008126,446977.30700034363
BE334,BE,SFH,70274.0,0.2841132830661626,190071.7863712628
BE335,BE,MFH_HIGH,48423.0,0.07568269627517911,160371.63340710453
BE335,BE,OTHER,427920.0,0.6688172849694287,1417223.8268502194
BE335,BE,SFH,163473.0,0.2555000187553922,541404.5397426761
BE336,BE,MFH_HIGH,14944.0,0.06248118540321771,49172.692912332335
BE336,BE,OTHER,160120.0,0.6694651637288023,526869.0838545674
BE336,BE,SFH,64112.0,0.26805365086798005,210958.2232331003
BE341,BE,MFH_HIGH,15395.0,0.0801735226876227,45698.907931944945
