nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
AT334,AT,OTHER,726451.4268855273,0.6,0.4
AT334,AT,SFH,208604.00909237209,0.9,0.3
AT335,AT,MFH_HIGH,369694.5446045729,0.5,0.8
AT335,AT,OTHER,1560469.4391330837,0.6,0.4
AT335,AT,SFH,354836.0162623433,0.9,0.3
AT341,AT,MFH_HIGH,126974.19560136502,0.5,0.8
AT341,AT,OTHER,645788.722142771,0.6,0.4
AT341,AT,SFH,174237.08225586405,0.9,0.3
AT342,AT,MFH_HIGH,450061.1261484258,0.5,0.8
AT342,AT,OTHER,1738997.4218684705,0.6,0.4
AT342,AT,SFH,387941.451983104,0.9,0.3
ATZZZ,AT,MFH_HIGH,0.0,0.5,0.8
ATZZZ,AT,OTHER,0.0,0.6,0.4
ATZZZ,AT,SFH,0.0,0.9,0.3
BE100,BE,MFH_HIGH,3619116.796586369,0.5,0.8
BE100,BE,OTHER,9497811.058261815,0.6,0.4
BE100,BE,SFH,1078072.145151815,0.9,0.3
BE211,BE,MFH_HIGH,1453762.24781777,0.5,0.8
BE211,BE,OTHER,6942660.113110487,0.6,0.4
BE211,BE,SFH,1986577.6390717416,0.9,0.3
BE212,BE,MFH_HIGH,217827.6433740872,0.5,0.8
BE212,BE,OTHER,2175924.0428424985,0.6,0.4
BE212,BE,SFH,859248.3137834142,0.9,0.3
BE213,BE,MFH_HIGH,238854.0897059876,0.5,0.8
BE213,BE,OTHER,2747237.8567851777,0.6,0.4
BE213,BE,SFH,1121908.053508835,0.9,0.3
BE221,BE,OTHER,3906000.0,0.6,0.4
BE222,BE,OTHER,2032000.0,0.6,0.4
BE223,BE,MFH_HIGH,96470.46564636928,0.5,0.8
BE223,BE,OTHER,1176856.007815044,0.6,0.4
BE223,BE,SFH,486673.5265385868,0.9,0.3
BE231,BE,MFH_HIGH,145118.80978812466,0.5,0.8
BE231,BE,OTHER,1750792.1501090757,0.6,0.4
BE231,BE,SFH,724089.0401027999,0.9,0.3
BE232,BE,MFH_HIGH,83605.20189490865,0.5,0.8
BE232,BE,OTHER,1163861.1690038724,0.6,0.4
BE232,BE,SFH,493533.62910121895,0.9,0.3
BE233,BE,MFH_HIGH,32450.9158411153,0.5,0.8
BE233,BE,OTHER,502565.2794878109,0.6,0.4
BE233,BE,SFH,215983.80467107383,0.9,0.3
BE234,BE,MFH_HIGH,419269.5805315216,0.5,0.8
BE234,BE,OTHER,3657002.555984426,0.6,0.4
BE234,BE,SFH,1396727.8634840525,0.9,0.3
BE235,BE,MFH_HIGH,41251.14943144673,0.5,0.8
BE235,BE,OTHER,749777.6694138703,0.6,0.4
BE235,BE,SFH,330971.18115468294,0.9,0.3
BE236,BE,MFH_HIGH,153088.24347369804,0.5,0.8
BE236,BE,OTHER,1461439.3388429752,0.6,0.4
BE236,BE,SFH,573472.4176833268,0.9,0.3
BE241,BE,MFH_HIGH,387633.3223160651,0.5,0.8
BE241,BE,OTHER,4237353.197574917,0.6,0.4
BE241,BE,SFH,1710013.4801090176,0.9,0.3
BE242,BE,MFH_HIGH,297455.4345722653,0.5,0.8
BE242,BE,OTHER,3270577.430882561,0.6,0.4
BE242,BE,SFH,1322967.134545173,0.9,0.3
BE251,BE,MFH_HIGH,231169.4225808957,0.5,0.8
BE251,BE,OTHER,1944301.3675804515,0.6,0.4
BE251,BE,SFH,731529.2098386532,0.9,0.3
BE252,BE,MFH_HIGH,12795.729170026772,0.5,0.8
BE252,BE,OTHER,293287.8552304765,0.6,0.4
BE252,BE,SFH,132916.41559949677,0.9,0.3
BE253,BE,MFH_HIGH,30669.785137368635,0.5,0.8
BE253,BE,OTHER,647416.2222845916,0.6,0.4
BE253,BE,SFH,289913.9925780397,0.9,0.3
BE254,BE,MFH_HIGH,133026.29647542673,0.5,0.8
BE254,BE,OTHER,1869951.4476308369,0.6,0.4
BE254,BE,SFH,795022.2558937364,0.9,0.3
BE255,BE,MFH_HIGH,220126.23056807328,0.5,0.8
BE255,BE,OTHER,1123109.413206473,0.6,0.4
BE255,BE,SFH,335764.3562254537,0.9,0.3
BE256,BE,MFH_HIGH,63603.00027073638,0.5,0.8
BE256,BE,OTHER,943526.2198592598,0.6,0.4
BE256,BE,SFH,403870.7798700039,0.9,0.3
BE257,BE,MFH_HIGH,24430.33478058057,0.5,0.8
BE257,BE,OTHER,555277.1179446698,0.6,0.4
BE257,BE,SFH,250292.5472747497,0.9,0.3
BE258,BE,MFH_HIGH,96922.39858906528,0.5,0.8
BE258,BE,OTHER,503696.9009826153,0.6,0.4
BE258,BE,SFH,153380.70042831948,0.9,0.3
BE310,BE,MFH_HIGH,236425.3939518481,0.5,0.8
BE310,BE,OTHER,2489361.989771936,0.6,0.4
BE310,BE,SFH,999212.616276216,0.9,0.3
BE321,BE,OTHER,798000.0,0.6,0.4
BE322,BE,OTHER,4316000.0,0.6,0.4
BE323,BE,MFH_HIGH,125446.12645464449,0.5,0.8
BE323,BE,OTHER,1745770.8765188872,0.6,0.4
BE323,BE,SFH,741782.9970264682,0.9,0.3
BE324,BE,OTHER,694000.0,0.6,0.4
BE325,BE,OTHER,1698000.0,0.6,0.4
BE326,BE,OTHER,1446000.0,0.6,0.4
BE327,BE,OTHER,1445000.0,0.6,0.4
BE331,BE,MFH_HIGH,42079.10468790886,0.5,0.8
BE331,BE,OTHER,693770.9558411236,0.6,0.4
BE331,BE,SFH,302149.9394709676,0.9,0.3
BE332,BE,MFH_HIGH,541537.6295523229,0.5,0.8
BE332,BE,OTHER,4236647.169099285,0.6,0.4
BE332,BE,SFH,1562815.2013483918,0.9,0.3
BE334,BE,MFH_HIGH,31950.906628393543,0.5,0.8
BE334,BE,OTHER,446977.3070003436,0.6,0.4
BE334,BE,SFH,190071.7863712628,0.9,0.3
BE335,BE,MFH_HIGH,160371.63340710453,0.5,0.8
BE335,BE,OTHER,1417223.8268502194,0.6,0.4
BE335,BE,SFH,541404.5397426761,0.9,0.3
BE336,BE,MFH_HIGH,49172.692912332335,0.5,0.8
BE336,BE,OTHER,526869.0838545674,0.6,0.4
BE336,BE,SFH,210958.2232331003,0.9,0.3
