nuts_id,country,building_type,n_buildings,dwellings_2021,dwellings_share,heat_2015_MWh
AT322,AT,MFH_HIGH,15013,90470.0,0.7050837418459835,775257.855974967
AT322,AT,OTHER,61198,0.0,0.0,0.0
AT322,AT,SFH,37841,37841.0,0.2949162581540164,804651.8965692556
AT323,AT,MFH_HIGH,22551,140640.0,0.7260000309726976,1307247.37071277
AT323,AT,OTHER,77483,0.0,0.0,0.0
AT323,AT,SFH,53079,53079.0,0.27399996902730245,1137778.9709699184
AT331,AT,MFH_HIGH,4606,27636.0,0.7717828418230563,205821.27005045663
AT331,AT,OTHER,24321,0.0,0.0,0.0
AT331,AT,SFH,8172,8172.0,0.2282171581769437,157894.62148861834
AT332,AT,MFH_HIGH,22932,143570.0,0.805509580048812,1318041.638081684
AT332,AT,OTHER,75518,0.0,0.0,0.0
AT332,AT,SFH,34665,34665.0,0.19449041995118804,744716.7209690321
AT333,AT,MFH_HIGH,5337,32022.0,0.7372565271446332,274611.7317587736
AT333,AT,OTHER,28286,0.0,0.0,0.0
AT333,AT,SFH,11412,11412.0,0.26274347285536676,237771.44232040783
AT334,AT,MFH_HIGH,11335,68318.0,0.721178917144335,527883.119001938
AT334,AT,OTHER,64964,0.0,0.0,0.0
AT334,AT,SFH,26413,26413.0,0.278821082855665,545847.8235401942
AT335,AT,MFH_HIGH,29615,178166.0,0.7900475804055642,1515089.4409353926
AT335,AT,OTHER,110210,0.0,0.0,0.0
AT335,AT,SFH,47347,47347.0,0.2099524195944358,1035194.4381543888
AT341,AT,MFH_HIGH,7846,47076.0,0.6632477669136916,341021.56137402635
AT341,AT,OTHER,28189,0.0,0.0,0.0
AT341,AT,SFH,23902,23902.0,0.3367522330863084,523547.0442228893
AT342,AT,MFH_HIGH,16510,100418.0,0.6510545322518948,861703.3485245246
AT342,AT,OTHER,49882,0.0,0.0,0.0
AT342,AT,SFH,53821,53821.0,0.3489454677481052,1165224.0996633123
BE100,BE,MFH_HIGH,120482,754280.0,0.915831816619941,6025437.5546898395
BE100,BE,OTHER,66397,0.0,0.0,0.0
BE100,BE,SFH,69321,69321.0,0.08416818338005903,1456494.0258709125
BE211,BE,MFH_HIGH,89664,542282.0,0.7097597495405976,5014257.844142362
BE211,BE,OTHER,251907,0.0,0.0,0.0
BE211,BE,SFH,221754,221754.0,0.29024025045940244,5634679.117414701
BE212,BE,MFH_HIGH,21286,127968.0,0.5283043794173987,1318238.643175218
BE212,BE,OTHER,140610,0.0,0.0,0.0
BE212,BE,SFH,114256,114256.0,0.4716956205826012,2930971.569342884
BE213,BE,MFH_HIGH,20533,123422.0,0.41303954968642703,1492410.1473527346
BE213,BE,OTHER,266637,0.0,0.0,0.0
BE213,BE,SFH,175392,175392.0,0.586960450313573,4575117.976298086
BE221,BE,MFH_HIGH,17210,103960.0,0.4133384755459956,1174322.4442762753
BE221,BE,OTHER,187070,0.0,0.0,0.0
BE221,BE,SFH,147553,147553.0,0.5866615244540043,3866743.676330796
BE222,BE,MFH_HIGH,9748,58502.0,0.39074010993781766,687188.2560035915
BE222,BE,OTHER,130813,0.0,0.0,0.0
BE222,BE,SFH,91219,91219.0,0.6092598900621823,2357973.1502968376
BE223,BE,MFH_HIGH,9305,55928.0,0.4375938908362544,664587.8906746763
BE223,BE,OTHER,88638,0.0,0.0,0.0
BE223,BE,SFH,71880,71880.0,0.5624061091637457,1948399.7776941643
BE231,BE,MFH_HIGH,16909,101468.0,0.48999893759839286,1229677.3779163528
BE231,BE,OTHER,115980,0.0,0.0,0.0
BE231,BE,SFH,105610,105610.0,0.5100010624016071,2809180.4870786746
BE232,BE,MFH_HIGH,9402,56468.0,0.41522114783631753,767733.4492086349
BE232,BE,OTHER,89511,0.0,0.0,0.0
BE232,BE,SFH,79527,79527.0,0.5847788521636825,1988532.3650816544
BE233,BE,MFH_HIGH,3621,21726.0,0.3874730252715307,293614.46688299964
BE233,BE,OTHER,45427,0.0,0.0,0.0
BE233,BE,SFH,34345,34345.0,0.6125269747284693,890913.8758176377
BE234,BE,MFH_HIGH,48941,297846.0,0.6365332461387548,2782998.063303805
BE234,BE,OTHER,208219,0.0,0.0,0.0
BE234,BE,SFH,170073,170073.0,0.3634667538612452,4430796.786454752
BE235,BE,MFH_HIGH,7549,45294.0,0.4978237931944078,512235.6576734161
BE235,BE,OTHER,65490,0.0,0.0,0.0
BE235,BE,SFH,45690,45690.0,0.5021762068055922,1261615.7573848793
BE236,BE,MFH_HIGH,11607,69978.0,0.44911816804867405,965284.230491362
BE236,BE,OTHER,109147,0.0,0.0,0.0
BE236,BE,SFH,85834,85834.0,0.550881831951326,2138458.16869541
BE241,BE,MFH_HIGH,28937,174784.0,0.4620150776615879,1809508.3309161912
BE241,BE,OTHER,183538,0.0,0.0,0.0
BE241,BE,SFH,203524,203524.0,0.5379849223384121,5251022.058200163
BE242,BE,MFH_HIGH,26006,157618.0,0.4688458369399999,1552017.270392569
BE242,BE,OTHER,193268,0.0,0.0,0.0
BE242,BE,SFH,178565,178565.0,0.5311541630600001,4652817.91719393
BE251,BE,MFH_HIGH,24033,147264.0,0.6040608720620206,1608551.75308856
BE251,BE,OTHER,112154,0.0,0.0,0.0
BE251,BE,SFH,96526,96526.0,0.3959391279379794,2463071.7772188494
BE252,BE,MFH_HIGH,2528,15168.0,0.4308968495213204,183597.49631367257
BE252,BE,OTHER,37628,0.0,0.0,0.0
BE252,BE,SFH,20033,20033.0,0.5691031504786795,523525.6967843007
BE253,BE,MFH_HIGH,6679,40214.0,0.4837716238000144,445812.5710094041
BE253,BE,OTHER,59430,0.0,0.0,0.0
BE253,BE,SFH,42912,42912.0,0.5162283761999855,1086643.3483233703
BE254,BE,MFH_HIGH,16361,98880.0,0.47208456272021543,1161296.1084126288
BE254,BE,OTHER,105423,0.0,0.0,0.0
BE254,BE,SFH,110574,110574.0,0.5279154372797846,2713551.839537105
BE255,BE,MFH_HIGH,14242,87972.0,0.6167846876533688,915358.7907256397
BE255,BE,OTHER,56045,0.0,0.0,0.0
BE255,BE,SFH,54658,54658.0,0.38321531234663114,1160271.2060846775
BE256,BE,MFH_HIGH,8730,52884.0,0.48749550612549664,620686.6449219617
BE256,BE,OTHER,73068,0.0,0.0,0.0
BE256,BE,SFH,55597,55597.0,0.5125044938745034,1474104.2992905264
BE257,BE,MFH_HIGH,4751,28520.0,0.435586101565483,368284.4788710093
BE257,BE,OTHER,57408,0.0,0.0,0.0
BE257,BE,SFH,36955,36955.0,0.564413898434517,1012327.2536724592
BE258,BE,MFH_HIGH,5856,37306.0,0.5970010721887052,509419.4586226836
BE258,BE,OTHER,26546,0.0,0.0,0.0
BE258,BE,SFH,25183,25183.0,0.40299892781129476,572703.0367856716
BE310,BE,MFH_HIGH,21826,133602.0,0.4123925819834058,1084627.9794452374
BE310,BE,OTHER,145334,0.0,0.0,0.0
BE310,BE,SFH,190366,190366.0,0.5876074180165942,3527171.1065204684
BE321,BE,MFH_HIGH,4469,26814.0,0.32315368299267255,232812.0314112244
BE321,BE,OTHER,57044,0.0,0.0,0.0
BE321,BE,SFH,56162,56162.0,0.6768463170073274,1033357.9170026812
BE322,BE,MFH_HIGH,26365,158624.0,0.3682951859539631,983483.0193008705
BE322,BE,OTHER,116197,0.0,0.0,0.0
BE322,BE,SFH,272074,272074.0,0.6317048140460368,3628896.510118654
BE323,BE,MFH_HIGH,11363,68458.0,0.2801132597363274,576506.9451824068
BE323,BE,OTHER,86672,0.0,0.0,0.0
BE323,BE,SFH,175936,175936.0,0.7198867402636726,2492496.963321025
BE324,BE,MFH_HIGH,3649,21992.0,0.29159760802980683,170904.09180984204
BE324,BE,OTHER,25606,0.0,0.0,0.0
BE324,BE,SFH,53427,53427.0,0.7084023919701932,713659.6741612722
BE325,BE,MFH_HIGH,11272,67786.0,0.3479416897649112,457747.37834595644
BE325,BE,OTHER,62910,0.0,0.0,0.0
BE325,BE,SFH,127034,127034.0,0.6520583102350888,1729313.7192652717
BE326,BE,MFH_HIGH,7923,47608.0,0.2895898976873198,311708.24344322714
BE326,BE,OTHER,71949,0.0,0.0,0.0
BE326,BE,SFH,116790,116790.0,0.7104101023126802,1636242.0096041022
BE327,BE,MFH_HIGH,11350,68380.0,0.4163926440141274,495086.3415544206
BE327,BE,OTHER,79361,0.0,0.0,0.0
BE327,BE,SFH,95840,95840.0,0.5836073559858727,1514557.103476484
BE331,BE,MFH_HIGH,6123,36752.0,0.38118550018150704,233946.97234558614
BE331,BE,OTHER,69052,0.0,0.0,0.0
BE331,BE,SFH,59663,59663.0,0.618814499818493,1080363.371750898
BE332,BE,MFH_HIGH,82613,503042.0,0.6876122573396138,2534819.779733348
BE332,BE,OTHER,222655,0.0,0.0,0.0
BE332,BE,SFH,228536,228536.0,0.31238774266038616,3840587.63102876
BE334,BE,MFH_HIGH,2951,17762.0,0.28333519437221844,149545.3252823724
BE334,BE,OTHER,51315,0.0,0.0,0.0
BE334,BE,SFH,44927,44927.0,0.7166648056277816,840790.7192558835
BE335,BE,MFH_HIGH,31828,191052.0,0.7403222431471019,1057139.022234641
BE335,BE,OTHER,96308,0.0,0.0,0.0
BE335,BE,SFH,67014,67014.0,0.2596777568528981,1522519.2839093795
BE336,BE,MFH_HIGH,8678,52082.0,0.6669569337550744,398642.1667266078
BE336,BE,OTHER,38266,0.0,0.0,0.0
BE336,BE,SFH,26007,26007.0,0.33304306624492563,711584.310168662
BE341,BE,MFH_HIGH,10208,61584.0,0.7454697316338018,353781.13437822455
BE341,BE,OTHER,24971,0.0,0.0,0.0
BE341,BE,SFH,21027,21027.0,0.2545302683661982,431837.9501015481
BE342,BE,MFH_HIGH,6362,38172.0,0.6563160881002734,275930.58902645955
BE342,BE,OTHER,37284,0.0,0.0,0.0
BE342,BE,SFH,19989,19989.0,0.34368391189972664,506437.7125987764
BE343,BE,MFH_HIGH,7481,44900.0,0.6085577587725838,291056.7047123425
BE343,BE,OTHER,41972,0.0,0.0,0.0
BE343,BE,SFH,28881,28881.0,0.3914422412274163,644402.4485644611
BE344,BE,MFH_HIGH,8580,51480.0,0.6150684604172143,388543.7119916584
BE344,BE,OTHER,47260,0.0,0.0,0.0
BE344,BE,SFH,32218,32218.0,0.38493153958278575,698566.0225136867
BE345,BE,MFH_HIGH,8979,53874.0,0.6933590733590733,360086.4867781813
BE345,BE,OTHER,31423,0.0,0.0,0.0
BE345,BE,SFH,23826,23826.0,0.3066409266409266,511109.3188463961
BE351,BE,MFH_HIGH,11069,66540.0,0.538763612809198,442417.7357828667
BE351,BE,OTHER,75195,0.0,0.0,0.0
BE351,BE,SFH,56965,56965.0,0.461236387190802,1172013.4990013016
BE352,BE,MFH_HIGH,21426,129844.0,0.49691352118820825,867258.7674613686
BE352,BE,OTHER,135831,0.0,0.0,0.0
BE352,BE,SFH,131457,131457.0,0.5030864788117918,2665697.35442128
BE353,BE,MFH_HIGH,3667,22002.0,0.349171586364502,161252.53657514683
BE353,BE,OTHER,44738,0.0,0.0,0.0
BE353,BE,SFH,41010,41010.0,0.650828413635498,773298.2127264696
BG311,BG,MFH_HIGH,2144,12990.0,0.16784246840840375,100472.72914538621
BG311,BG,OTHER,34392,0.0,0.0,0.0
BG311,BG,SFH,64404,64404.0,0.8321575315915962,547637.8589708965
BG312,BG,MFH_HIGH,3950,23700.0,0.2069435227550557,145348.06963756625
BG312,BG,OTHER,56523,0.0,0.0,0.0
BG312,BG,SFH,90824,90824.0,0.7930564772449443,804442.4886895687
BG313,BG,MFH_HIGH,4794,29156.0,0.2072328206294601,202349.1103071489
