building_class,eubucco_building_count,eubucco_total_heated_area_m2,model_building_type,model_dwellings,model_heat_MWh
MFH_HIGH,12266,51502639.45074618,MFH_HIGH,4875516.0,14086155.846768305
MFH_LOW,650082,435444383.5373792,MFH_HIGH,4875516.0,14086155.846768305
NON_RESIDENTIAL,2421287,0.0,OTHER,18739652.0,55636083.67204763
SFH,1792678,333417421.28148186,SFH,4132700.0,12639760.481184069
