source,twh_yr,kwh_m2_yr_avg,note
"Bottom-up: EUBUCCO + TABULA direct (this model, all classes)",130.7,133.1,TABULA × HDD ratio × retrofit blend + DHW; non-res flat
Bottom-up: residential only (excludes NON_RESIDENTIAL),130.7,133.1,Comparable to Hotmaps + EU BSO + Odyssee residential figures
Hotmaps 2015 baseline (existing model),160.65,163.5,Residential baseline (see cfg.reconciliation_benchmarks.hotmaps)
EU BSO 2022 weighted-avg implied total,136.305,138.8,BSO per-cohort intensities × NL stock weights × our residential area
Odyssee-Mure 2022 NL residential (back-calculated),95.0,96.7,National total only; final-energy basis.
